Original row	Sample	0h	6h	3d	7d	11d
2694	SMED30002753	-1.3436114	0.7367738	1.1539046	0.018644813	-0.5657118
2996	SMED30003059	-1.1383371	1.2753352	0.76670086	-0.2499302	-0.6537687
3312	SMED30003385	-1.4738759	0.77225786	0.62804985	0.6825994	-0.6090312
4192	SMED30004286	-1.003207	1.1601881	0.7777893	-1.0176966	0.08292619
4302	SMED30004398	-1.2690789	1.0133438	0.8483508	-0.77966964	0.18705393
4318	SMED30004415	-1.6613581	0.97391814	0.4836197	0.23739715	-0.033576902
5151	SMED30005272	-1.4330721	0.9766234	0.3986488	0.6738495	-0.61604965
5846	SMED30005987	-1.5004822	0.87476	0.95506394	-0.07256223	-0.2567794
6038	SMED30006188	-1.371561	1.2725261	0.60437304	-0.30988637	-0.19545178
6155	SMED30006308	-1.459663	0.9259473	0.5285994	0.6077751	-0.6026588
6230	SMED30006386	-0.65500295	1.1326613	1.0490887	-0.86821586	-0.65853125
7265	SMED30007444	-0.9465972	1.4544891	0.11626892	-0.9366236	0.31246266
7499	SMED30007684	-1.0586406	1.4720117	-0.26922503	-0.6331393	0.4889932
7648	SMED30007835	-0.9350794	1.0830548	1.0345969	-0.89376706	-0.28880525
7680	SMED30007868	-0.6140964	1.284396	0.8791117	-0.7703785	-0.77903277
7966	SMED30008159	-1.0721167	1.477866	0.37049133	-0.05052663	-0.72571397
8372	SMED30008571	-1.0794312	1.2646077	0.83992326	-0.56107914	-0.46402058
8637	SMED30008845	-1.4949849	0.69792783	0.7266091	0.64656454	-0.5761167
8699	SMED30008907	-0.9891297	1.4650196	-0.21718542	-0.75971186	0.50100744
8793	SMED30009004	-1.2671684	1.4650594	0.19822815	0.05702423	-0.45314345
8988	SMED30009202	-0.75603443	1.0951735	1.0951735	-0.7392479	-0.69506454
9217	SMED30009433	-0.97347075	1.4516565	0.36554456	0.055358693	-0.899089
9352	SMED30009574	-0.50417656	1.0798539	1.0778611	-0.6673285	-0.98620987
9682	SMED30009912	-1.357766	0.88336426	0.91869885	0.24337888	-0.6876759
9744	SMED30009976	-1.0968485	0.7302964	0.7302964	0.7302964	-1.0940406
9768	SMED30010000	-1.0546219	0.9687721	1.1674076	-0.5684301	-0.5131277
9953	SMED30010189	-0.85372394	1.5727239	0.26801726	-0.83902293	-0.14799424
10365	SMED30010610	-1.4714055	1.1849768	0.06772644	0.55784506	-0.33914283
10419	SMED30010665	-0.9474943	0.829486	1.2459955	-0.22819243	-0.8997948
10458	SMED30010704	-0.44514954	1.1247255	1.0052737	-0.6112319	-1.0736177
10784	SMED30011047	-0.9426381	1.4599802	0.26245618	-0.9407917	0.16099344
11063	SMED30011332	-1.5180955	1.1851395	0.50949514	2.2331893E-4	-0.1767624
11461	SMED30011741	-0.7290071	1.0954442	1.0954442	-0.7323367	-0.7295447
11559	SMED30011842	-1.0251986	1.5242943	0.07464674	-0.76401514	0.19027263
11617	SMED30011905	-0.5734142	1.219962	0.33374682	0.40176448	-1.3820591
11648	SMED30011937	-1.4741327	0.88773495	0.9607622	-0.33837932	-0.035985135
12164	SMED30012462	-0.881981	0.99557674	0.2980263	0.8084376	-1.2200596
12250	SMED30012551	-0.99698156	1.2866007	-0.065092824	-0.9250495	0.70052314
12280	SMED30012582	-1.629791	0.9663239	0.4892998	-0.19167972	0.36584696
12347	SMED30012649	-1.0099665	0.67874324	0.835095	0.66864777	-1.1725194
12586	SMED30012892	-1.2158886	0.7878213	0.6729403	0.7196212	-0.9644942
12924	SMED30013242	-1.0006007	1.2173232	0.9180312	-0.6904793	-0.4442744
12994	SMED30013314	-0.47448146	1.260164	0.879419	-0.9491586	-0.7159429
13044	SMED30013364	-1.0992438	0.7302941	0.7302941	0.7302941	-1.0916386
13742	SMED30014084	-0.7397323	1.0952252	1.0952252	-0.7524537	-0.6982644
14055	SMED30014405	-0.7005086	1.0831177	0.9555228	-0.15534338	-1.1827885
14058	SMED30014408	-1.3763726	0.8201898	0.7884333	-0.74234	0.5100896
14612	SMED30014972	-1.4643325	1.0249126	0.62711936	-0.53791636	0.35021687
14656	SMED30015017	-1.3460555	1.0489838	0.8269079	0.09814354	-0.62797976
15022	SMED30015390	-1.0386752	1.2912557	0.47502506	0.25403967	-0.9816453
15299	SMED30015676	-0.70418525	1.0953056	1.0953056	-0.7419447	-0.7444813
15318	SMED30015696	-0.5423562	1.4049745	0.6898385	-0.61660653	-0.93585026
15378	SMED30015759	-1.0580925	0.55032116	1.3257169	0.08374622	-0.90169185
15668	SMED30016057	-0.7477355	1.1834769	0.99772835	-0.8099933	-0.6234765
15697	SMED30016087	-1.2449617	0.6710923	1.2792418	-0.11344695	-0.5919254
16697	SMED30017115	-0.78577656	0.76599455	0.009996312	1.1871915	-1.1774057
16931	SMED30017353	-1.1341707	1.2105988	-0.15337569	0.82001805	-0.74307054
17183	SMED30017610	-1.664158	0.6415563	0.39712128	0.7952677	-0.16978739
17556	SMED30017996	-0.59081775	1.2054745	-0.18167442	0.8011097	-1.2340921
17599	SMED30018043	-1.4346193	0.776933	1.0280507	0.1409846	-0.5113489
17603	SMED30018048	-0.6547007	1.3504796	0.26438433	0.29989138	-1.2600547
18088	SMED30018547	-1.4723663	1.1017578	-0.07658407	-0.28257143	0.7297641
18096	SMED30018555	-0.22155754	1.2808114	0.73169935	-0.60282207	-1.1881312
18156	SMED30018615	-0.75688	1.7483684	-0.458954	-0.17164853	-0.3608859
18209	SMED30018671	-0.8665299	1.5830839	0.3013932	-0.7678418	-0.25010535
18359	SMED30018825	-1.017003	0.42045197	1.3081968	0.28617653	-0.99782217
18365	SMED30018831	-0.22944528	1.2573743	0.5292036	-0.1175151	-1.4396175
18738	SMED30019216	-0.74493325	1.6172363	-0.27622354	-0.83454067	0.23846115
18898	SMED30019377	-1.2112465	0.9475839	0.50681907	0.6995608	-0.94271725
19184	SMED30019671	-0.681897	1.7279774	-0.011890764	-0.43284708	-0.6013425
19476	SMED30019968	-1.1039504	0.7302835	0.7302835	0.7302835	-1.0869
19507	SMED30020000	-1.2230117	0.7723071	1.2517031	-0.2999413	-0.50105727
20006	SMED30020511	-0.48796913	1.2892131	0.75550133	-0.38006005	-1.1766852
20287	SMED30020798	-0.9470622	0.7035028	0.5580014	0.90281546	-1.2172574
20318	SMED30020831	-0.62934226	1.4122485	0.029611446	0.39327636	-1.2057941
20350	SMED30020864	-1.2004684	1.5122393	-0.15605202	0.26531053	-0.4210295
20408	SMED30020925	-0.82383364	1.2215679	0.8393938	-0.1947448	-1.0423832
20480	SMED30020997	-0.740465	1.4561192	0.25810704	-1.1156508	0.1418896
20581	SMED30021100	-1.4089608	1.1208347	0.70539814	0.08624905	-0.503521
20725	SMED30021248	-1.1704423	1.5794059	0.08211625	-0.18143447	-0.30964538
20733	SMED30021256	-1.064917	0.9422925	1.1875142	-0.51180965	-0.55308
20819	SMED30021346	-0.2546689	1.3361138	0.62958664	-1.2361403	-0.47489122
20990	SMED30021520	-1.4809624	0.9928479	-0.09219915	-0.2773469	0.85766053
21037	SMED30021569	-1.1550547	1.3028975	0.741979	-0.54951185	-0.34030998
21054	SMED30021586	-1.0719658	1.4774451	-0.72024184	-0.06595606	0.38071862
21059	SMED30021591	-1.533207	1.039989	0.713606	0.02053473	-0.24092263
21118	SMED30021651	-0.8694841	0.8043171	1.1618261	0.01995759	-1.1166167
21261	SMED30021795	-1.5114555	0.6740001	0.93566984	0.38731286	-0.4855272
21311	SMED30021845	-1.0980616	0.7302955	0.7302955	0.7302955	-1.0928249
21369	SMED30021903	-1.1007999	1.5411134	-0.6131152	0.19215685	-0.019355215
21493	SMED30022030	-1.069961	1.5331037	0.27329373	-0.6501028	-0.08633375
21865	SMED30022411	-0.89929485	1.6857979	-0.56428427	-0.055222716	-0.16699618
21890	SMED30022436	-0.99769896	1.3688127	0.58192223	-0.88772136	-0.06531463
22058	SMED30022606	-0.7584229	1.0003498	1.046916	-0.1456712	-1.1431718
22453	SMED30023007	-1.4073409	0.9730333	-0.36848366	0.95573336	-0.15294215
22524	SMED30023078	-1.0292113	0.7295232	0.7295232	0.7295232	-1.1593584
22531	SMED30023085	-1.657888	0.77835	0.765485	0.21997955	-0.10592651
22856	SMED30023418	-1.1325617	1.4568393	-0.09976949	-0.6412945	0.41678628
22916	SMED30023480	-0.6839633	0.3787664	0.07934673	1.408481	-1.1826308
22943	SMED30023507	-0.55412954	1.5656033	0.31576094	-1.0251046	-0.3021299
22994	SMED30023560	-0.22583313	1.4154631	0.5766555	-1.0460074	-0.7202781
23073	SMED30023641	-1.1721184	1.068334	0.9277852	-0.7891786	-0.034822255
23142	SMED30023711	-1.1450065	1.5729125	-0.28451046	0.17697765	-0.32037315
23200	SMED30023769	-1.6849792	0.86266834	0.6289902	0.0625045	0.13081628
23476	SMED30024049	-0.69403404	0.87930775	1.1837943	-0.23365024	-1.1354177
23531	SMED30024105	-0.73165643	1.7516011	-0.4082253	-0.15953064	-0.4521887
23532	SMED30024106	-0.5463626	0.9952882	1.0367843	-0.22695722	-1.2587526
23553	SMED30024128	-1.1734232	1.0350338	0.9480504	-0.0015886455	-0.8080724
23882	SMED30024466	-0.7689171	1.6697669	0.15360752	-0.38385886	-0.67059845
23920	SMED30024504	-1.1689904	1.1371181	0.8344253	-0.80259484	4.1844625E-5
24176	SMED30024769	-0.8402758	1.5242105	-0.769985	0.47554085	-0.3894905
24296	SMED30024892	-1.2517662	0.9730145	1.0770049	-0.33675405	-0.46149912
24396	SMED30024993	-0.49023446	0.7390632	0.2836921	0.9566838	-1.4892046
24424	SMED30025021	-1.5181363	0.79849404	1.0064346	-0.18602383	-0.10076848
24462	SMED30025060	-1.4497025	1.0189881	-0.4343877	0.8179939	0.047108278
24602	SMED30025206	-0.6265878	1.4330088	0.5586193	-1.0763161	-0.28872418
24693	SMED30025300	-0.6156538	1.7577245	-0.14373071	-0.57783	-0.42051002
24697	SMED30025304	-0.73723507	1.5972863	0.3757623	-0.60475683	-0.6310567
24883	SMED30025498	-0.75762963	1.0947156	-0.67026854	1.0947156	-0.7615331
24998	SMED30025614	-0.74157804	1.2000018	0.94957423	-0.4619898	-0.9460083
25126	SMED30025744	-0.7309711	1.0954424	-0.7268829	1.0954424	-0.7330309
25156	SMED30025774	-1.0862062	1.566855	-0.45446366	-0.2943769	0.26819184
25198	SMED30025816	-0.86406636	1.3111366	-0.944257	0.7580497	-0.2608629
25300	SMED30025920	-0.6739293	1.5029114	0.56348765	-0.7022395	-0.6902303
25356	SMED30025976	-0.9786733	1.3223855	-0.93629044	0.64362234	-0.05104424
25397	SMED30026017	-1.0027592	1.1488649	-0.4703054	0.99901193	-0.6748122
25481	SMED30026103	-0.7656103	0.49433696	0.82867086	0.80005753	-1.3574551
25627	SMED30026251	-1.0815595	0.7302618	0.7302618	0.7302618	-1.1092259
25659	SMED30026283	-1.3822317	0.928937	0.66562676	0.5106443	-0.7229764
25997	SMED30026623	-1.1025169	0.73028755	0.73028755	0.73028755	-1.0883459
26013	SMED30026639	-1.076131	0.7302293	0.7302293	0.7302293	-1.114557
26213	SMED30026843	-0.7725921	1.0936538	1.0936538	-0.6358225	-0.77889293
26245	SMED30026876	-1.122086	1.302367	0.636735	-0.01762817	-0.7993878
26276	SMED30026908	-1.4543487	1.08454	-0.45949373	0.69181275	0.13748965
26311	SMED30026945	-0.58023614	1.2721535	0.842782	-0.48715445	-1.047545
26484	SMED30027122	-1.5758433	0.95085055	0.1903206	0.7082073	-0.2735351
26589	SMED30027230	-1.6860859	0.8159967	0.27595398	-0.04834144	0.6424766
26644	SMED30027285	-1.0266244	1.1555973	0.8275612	0.005623917	-0.962158
26893	SMED30027538	-1.1965513	1.5421702	0.17264298	-0.1453924	-0.37286943
26957	SMED30027604	-0.92237574	1.4389931	-0.93225753	0.4558518	-0.04021165
27003	SMED30027651	-0.6550831	1.0486473	1.0854647	-0.42391327	-1.0551156
27158	SMED30027807	-1.6005708	1.0197421	-0.22421078	0.512028	0.29301152
27200	SMED30027849	-1.5181488	0.830121	-0.16072653	0.9811979	-0.1324436
27639	SMED30028293	-0.40321016	1.0657679	-0.49901783	1.022578	-1.1861179
28131	SMED30028794	-0.7035597	1.6660111	0.13842197	-0.322085	-0.7787884
28132	SMED30028795	-1.1109115	0.7302527	0.7302527	0.7302527	-1.0798466
28158	SMED30028822	-0.046302967	1.0647106	0.6842176	-0.16333477	-1.5392905
28302	SMED30028970	-1.4230309	0.64134115	1.0744504	0.2816188	-0.57437956
28432	SMED30029104	-1.5936874	1.1184621	0.2509585	0.35817716	-0.1339104
28452	SMED30029124	-1.0810525	0.73025924	0.73025924	0.73025924	-1.1097251
28720	SMED30029397	-1.1088301	1.0343375	0.8674659	0.16642587	-0.9593993
28834	SMED30029513	-1.1947143	1.4810777	0.3475363	-0.14758255	-0.4863171
29048	SMED30029730	-1.3461627	1.4706671	0.060325656	-0.04624081	-0.1385893
29074	SMED30029756	-0.22906008	1.6063064	0.11554877	-0.40017435	-1.0926207
29248	SMED30029939	-1.6447603	1.0922488	0.18417045	0.18417045	0.18417045
29252	SMED30029943	-0.74550337	0.41851816	0.82951236	0.85659695	-1.3591241
29336	SMED30030031	-0.7600863	1.5981816	0.368712	-0.64781135	-0.5589959
29400	SMED30030096	-0.7227748	1.0954286	1.0954286	-0.7297773	-0.73830503
29521	SMED30030221	-0.7222429	1.693747	-0.24010243	-0.7428368	0.011435054
29569	SMED30030270	-0.97964585	1.1406119	0.52215123	0.44372228	-1.1268395
29570	SMED30030271	-0.7771312	1.3814836	-0.89538425	-0.42171752	0.7127494
29832	SMED30030538	-0.9174486	0.58860546	0.05008516	1.3163391	-1.0375811
29865	SMED30030572	-0.7362151	1.4923013	0.58007395	-0.63745177	-0.6987084
30079	SMED30030790	-0.70645887	1.5731773	-1.0027839	0.14285469	-0.0067892927
30327	SMED30031040	-0.3829337	1.1580667	0.98017937	-0.8037285	-0.9515839
30494	SMED30031210	-0.40025362	1.152826	-0.53237975	0.93945575	-1.1596483
30585	SMED30031302	-0.6040528	1.4189876	0.2464085	0.17560458	-1.2369479
30606	SMED30031324	-0.5965042	0.6658667	1.2329612	-0.005953499	-1.2963701
30673	SMED30031391	-0.9481378	0.3634811	1.2000489	0.51066965	-1.1260618
30768	SMED30031486	-0.7745958	1.0949991	-0.69601333	1.0949991	-0.7193891
30788	SMED30031507	-0.273602	1.648463	0.051097848	-0.4060417	-1.0199171
30836	SMED30031556	-1.1830949	0.4815726	1.2588774	0.2818043	-0.8391594
30934	SMED30031655	-1.0824077	0.7302659	0.7302659	0.7302659	-1.1083901
31009	SMED30031732	-0.82773834	1.3893267	0.52670604	-1.0515963	-0.036698114
31171	SMED30031899	-0.9106586	1.5053806	-0.9219361	0.14092067	0.18629338
31194	SMED30031922	-0.560924	1.1430374	0.99055904	-0.50263476	-1.0700377
31556	SMED30032288	-0.93715876	1.5817748	0.11585393	-0.7784449	0.01797488
31636	SMED30032371	-1.4253906	1.1158324	0.75476927	-0.057686504	-0.3875246
31639	SMED30032374	-0.87701976	1.5989788	-0.31141442	-0.7016848	0.2911402
31656	SMED30032391	-0.33537143	1.2632964	0.2180298	-1.463894	0.31793928
31679	SMED30032415	-0.6545311	1.5899061	-0.39603814	0.33922374	-0.8785606
31681	SMED30032417	-0.720806	1.0952246	1.0952246	-0.7620155	-0.7076278
31686	SMED30032422	-1.027363	1.5344732	-0.40208527	-0.51225686	0.40723187
32081	SMED30032827	-0.7423888	1.3121592	-0.58612996	0.83986926	-0.82350975
32219	SMED30032971	-0.5296441	1.5755671	0.39858973	-0.8543224	-0.5901904
32268	SMED30033021	-1.0105703	1.3286654	0.76053685	-0.70249736	-0.3761346
32486	SMED30033241	-0.4719109	1.7881377	-0.40770188	-0.43264708	-0.47587773
32592	SMED30033350	-0.75877804	1.755689	-0.4043574	-0.33333805	-0.25921553
32645	SMED30033406	-1.4089532	1.1295893	0.7396857	-0.023042591	-0.43727922
32849	SMED30033620	-0.52499455	1.490394	0.5071569	-1.0206082	-0.45194814
32868	SMED30033639	-0.51682997	1.7823422	-0.40320385	-0.32679427	-0.5355141
32897	SMED30033668	-1.0996226	0.7302936	0.7302936	0.7302936	-1.091258
33035	SMED30033807	-1.3023307	1.4483223	0.17097108	-0.41030797	0.09334527
33139	SMED30033911	-0.71802956	1.0954126	1.0954126	-0.7339353	-0.7388604
33220	SMED30033997	-0.6214669	1.0930777	1.0930777	-0.7851817	-0.77950686
33270	SMED30034050	-1.5482246	0.90260386	0.5076664	-0.4414472	0.5794015
33409	SMED30034192	-0.54754734	1.7194868	0.034828316	-0.519124	-0.6876439
33608	SMED30034393	-0.3987638	1.6668404	-0.2416183	-0.024637885	-1.0018204
34015	SMED30034816	-0.6716612	1.7646683	-0.51484257	-0.32525453	-0.25291008
34199	SMED30035002	-0.28354785	1.6440513	-0.066614494	-0.21382548	-1.0800635
34266	SMED30035071	-0.75364	1.0950712	-0.68746865	1.0950712	-0.7490338
34353	SMED30035159	-1.0780485	1.5065733	0.3673506	-0.63917744	-0.156698
34373	SMED30035179	-0.39975083	1.7881839	-0.4612551	-0.46117914	-0.4659989
34558	SMED30035367	-1.106667	0.7302736	0.7302736	0.7302736	-1.0841538
34565	SMED30035374	-0.11215522	1.3538853	0.54098576	-0.5220938	-1.2606221
34671	SMED30035482	-0.6318528	1.4420774	-1.2018149	0.18729614	0.2042942
34916	SMED30035732	-0.8853881	1.3799618	0.6379552	-0.92923534	-0.20329355
35001	SMED30035819	-1.0986735	1.4719002	0.39126208	-0.6831753	-0.08131344
1602	SMED30001638	-1.5876812	1.1154783	0.48325625	-0.031785388	0.020732105
2082	SMED30002127	-1.5309458	1.2417278	0.31447878	-0.099524595	0.074263796
2138	SMED30002184	-1.3213712	1.1302238	0.65351224	-0.70160973	0.23924485
2430	SMED30002479	-1.555068	0.8482788	0.71710706	-0.42222637	0.41190857
2705	SMED30002764	-1.5099281	0.6796964	1.074863	0.06857385	-0.31320503
3230	SMED30003300	-1.4528309	0.76604694	1.0174068	0.16078831	-0.49141124
3328	SMED30003403	-1.5739603	1.2155238	0.14528129	0.080824345	0.13233083
3383	SMED30003460	-1.3617066	1.2489551	0.23190667	0.45276326	-0.5719185
3782	SMED30003867	-1.2227551	1.2954688	0.40612236	0.2835797	-0.7624158
3798	SMED30003884	-1.0127368	1.2409741	0.83516294	-0.23891985	-0.82448035
3966	SMED30004057	-1.2122915	1.4313779	0.12720437	0.27705842	-0.6233493
4058	SMED30004152	-1.4434596	1.2305787	0.56723326	-0.08346358	-0.27088875
4061	SMED30004155	-1.323091	0.96829075	1.0380585	-0.362326	-0.3209323
4097	SMED30004191	-0.8307927	1.1404068	1.0310401	-0.5161594	-0.8244948
4299	SMED30004395	-1.4030024	1.2144724	0.656264	-0.14284252	-0.3248915
4392	SMED30004490	-1.2899028	1.2191052	0.65076035	-0.649332	0.06936922
4454	SMED30004555	-1.2415241	1.3074174	0.4712672	0.168978	-0.7061384
4654	SMED30004759	-0.91269785	0.9085217	1.2304186	-0.4184342	-0.80780816
4775	SMED30004883	-1.4609623	1.1948725	0.053467013	0.5604073	-0.3477845
4895	SMED30005006	-0.75206596	1.0580788	1.1272228	-0.6240087	-0.8092269
4955	SMED30005070	-1.5319006	1.1954013	0.42359847	0.09974612	-0.18684527
5025	SMED30005143	-1.3542743	0.63329136	1.1771239	0.14289469	-0.59903556
5238	SMED30005362	-0.7332419	1.0947382	1.0947382	-0.77882564	-0.677409
5253	SMED30005377	-1.288301	1.4474826	-0.41759714	-0.0073533687	0.26576895
5307	SMED30005434	-1.449147	1.1177356	0.75027716	-0.20937902	-0.20948674
5350	SMED30005479	-1.0819013	1.0878733	1.0455086	-0.51776266	-0.53371793
5464	SMED30005595	-0.7384107	1.095424	1.095424	-0.73146874	-0.72096854
5519	SMED30005650	-1.2700045	0.95363116	0.8572502	-0.8165723	0.27569535
5573	SMED30005707	-1.0031071	0.93971384	1.1783637	-0.3332157	-0.78175473
5585	SMED30005719	-1.099902	0.74517137	1.3105837	-0.30403274	-0.65182024
5599	SMED30005733	-1.2269368	1.4911734	0.26055428	-0.44327763	-0.081513144
5687	SMED30005824	-1.273804	1.1146252	0.75153345	0.14811401	-0.7404687
5691	SMED30005828	-1.1901611	1.3597475	0.3586098	0.21886484	-0.74706113
5731	SMED30005869	-1.470543	1.1314651	0.69398874	-0.25710687	-0.09780386
5868	SMED30006009	-1.5672706	0.88886505	0.8258494	0.100468665	-0.24791248
5894	SMED30006036	-1.3425726	1.1758176	0.77631	-0.18963465	-0.41992044
5961	SMED30006107	-0.7402358	1.0952518	1.0952518	-0.7502297	-0.700038
6052	SMED30006203	-1.5472364	0.90184397	0.6099752	-0.44057074	0.47598797
6244	SMED30006400	-1.2179159	1.2578884	0.7454321	-0.58018357	-0.20522103
6258	SMED30006414	-1.4436992	1.1449643	-0.029190205	-0.36052266	0.6884478
6342	SMED30006498	-1.0520251	1.3570364	0.71269846	-0.3950792	-0.6226305
6441	SMED30006598	-1.1538652	1.4705526	0.26946077	0.06864138	-0.65478957
6484	SMED30006644	-1.0536333	0.7851021	1.298159	-0.3442444	-0.68538344
6490	SMED30006650	-0.89732516	1.1742504	0.99996644	-0.6186398	-0.6582518
