Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30000001	3.24798	3.6759	2.23738	2.20725	2.8936	3.31778	3.1006	2.79237	3.34268	3.7667
SMED30000002	0.0217148	0.0512484	0	0.0164129	0	0	0.0119338	0.0882534	0.0523021	0.049912
SMED30000003	0.495496	0.752346	0.185502	0.311991	0.46327	0.592156	0.226412	0.206114	0.36247	0.423141
SMED30000004	3.28763	2.74143	2.71743	2.90069	2.81161	2.74387	8.53521	7.87172	12.5117	8.7383
SMED30000005	2.53246	2.76755	3.25944	3.67532	4.76697	4.4097	4.27855	4.35343	5.39439	5.59156
SMED30000006	0.811243	0.943638	0.629528	0.847607	1.09197	1.17524	1.58175	1.75043	1.89197	1.63354
SMED30000007	0	0	0	0.0495443	0	0	0	0	0	0
SMED30000008	0.0359365	0.0146749	0.0296222	0	0.0464547	0.188869	0.0552633	0.147326	0.0347503	0.045266
SMED30000009	14.6037	22.8068	19.7065	21.6877	24.7371	18.4057	18.1793	17.8385	17.6801	16.9124
SMED30000010	1.1554	1.64229	0.810852	0.8122	1.0036	1.41599	1.40316	1.17595	1.2872	1.60138
SMED30000011	0.242197	0.374457	0.157349	0.135366	0.0825099	0.359183	0.17636	0.190132	0.358957	0.336795
SMED30000012	1.96258	1.71755	1.12546	1.12848	1.19185	1.76605	1.50979	1.57348	1.41259	1.7014
SMED30000013	334.053	329.031	307.81	274.037	211.144	174.476	209.589	218.26	268.847	229.227
SMED30000014	41.5077	36.797	40.3727	48.2521	47.8899	45.351	57.7362	64.4587	76.4856	70.9234
SMED30000015	74.5537	77.1856	86.0408	90.3064	88.3795	76.1	85.4783	80.5543	84.1884	78.8032
SMED30000016	1.67183	1.74845	1.06969	1.24562	1.90757	2.06584	1.63494	1.52234	1.54195	1.70102
SMED30000017	0.151504	0.300435	0.177918	0.15853	0.217331	0.181641	0.15153	0.254802	0.29803	0.215688
SMED30000018	1.64662	1.65797	1.91096	1.98455	1.98237	2.48352	2.68971	2.46879	2.85596	3.22445
SMED30000019	21.6073	21.0979	18.4156	20.9191	22.5084	23.8723	28.5817	22.7793	27.0889	23.1564
SMED30000020	11.6461	11.4719	13.701	15.977	15.2653	14.8677	15.5035	15.5843	15.6676	14.1025
SMED30000021	0.0231192	0.0540898	0	0.0518153	0.0777859	0.0863612	0.0983553	0.0865719	0.109083	0.0421231
SMED30000022	55.6178	37.8513	27.5556	19.1746	38.2028	189.747	145.049	173.364	32.6871	96.3485
SMED30000023	1.01517	0.998886	0.905831	0.644109	0.787348	0.668128	1.22327	1.43671	1.73724	1.3549
SMED30000024	0.159682	0.203339	0.022828	0.0896308	0.0682187	0.204747	0.111921	0.235838	0.142481	0.172783
SMED30000025	3.22106	3.70474	2.39777	2.36309	2.4974	4.60949	2.91996	3.94971	2.62952	3.56785
SMED30000026	1.00254	0.976038	0.556573	0.625839	0.953546	0.886568	0.735363	0.740191	0.539317	0.548565
SMED30000027	5.79819	4.64412	6.09142	1.3755	0.0687228	0.0730347	0.00433957	0	0.0045373	0.0139997
SMED30000028	0.299169	0.303137	0.145179	0.144057	0.072865	0.289149	0.222666	0.180638	0.100347	0.328421
SMED30000029	0.620532	0.356563	0.472694	0.669166	0.41337	0.64117	0.539119	0.351735	0.70805	0.761011
SMED30000030	0.171119	0.169573	0.085202	0.0348641	0.182255	0.265649	0.330028	0.31377	0.213501	0.241827
SMED30000031	6.44572	9.63912	10.5468	10.4523	9.02578	8.51939	9.17952	9.2359	8.27595	7.85474
SMED30000032	4.00154	4.63671	5.61548	6.05117	6.13267	5.40808	4.99737	4.39538	4.13776	4.4097
SMED30000033	22.4761	22.8518	15.966	17.1889	17.3154	18.3561	16.915	17.1803	17.679	18.5373
SMED30000034	3.53117	3.14125	1.78851	1.44055	2.19615	3.75634	2.22836	1.90514	2.04936	3.40865
SMED30000035	5.5223	5.71346	5.96011	5.26089	4.25537	3.95295	4.78555	4.69478	5.04496	4.57283
SMED30000036	0.557987	0.56076	0.349281	0.278838	0.448103	0.438713	0.411697	0.480706	0.250769	0.330976
SMED30000037	0.631503	0.534789	0.396244	0.579258	0.715515	0.669017	0.830977	0.514021	0.567869	0.461552
SMED30000038	125.329	117.267	66.3638	66.5584	62.7536	160.556	79.4498	90.7069	55.7838	97.6139
SMED30000039	16.078	16.7773	16.1839	16.0959	15.2623	17.0717	16.1056	15.8477	18.027	16.7421
