Term	C1	C2	C3	C4	C5	C6
protein folding	2.40E-10	1	1	1	1	1
cell projection assembly	4.70E-08	1	1	1	1	8.90E-06
axoneme assembly	3.00E-15	1	1	1	1	2.40E-06
protein polyubiquitination	1	4.90E-07	0.00768	1	1	1
NIK/NF-kappaB signaling	1	1.50E-06	0.01767	1	1	1
DNA integration	1	0.0018	5.00E-24	1	1	1
ribosome biogenesis	1	0.00012	1.30E-14	1	1	1
rRNA metabolic process	1	0.00446	1.10E-16	1	1	1
transcription by RNA polymerase II	1	1	1	3.00E-24	1	1
regulation of RNA biosynthetic process	1	1	0.02897	3.80E-29	1	1
transmembrane transport	1	1	1	1	6.00E-30	2.10E-05
regulation of cell communication	1	1	1	0.01701	6.30E-27	1
regulation of signaling	1	1	1	0.02186	9.00E-27	1
developmental process	1	1	1	1.90E-08	6.20E-16	0.04384
ion transport	1	1	1	1	1	4.10E-10
