Original row	Sample	0h	6h	3d	7d	11d
23	SMED30000130	0.34773624	-0.45052713	-0.6058494	-0.88220036	1.5908406
37	SMED30000261	0.66286165	-1.0226617	-0.9775202	1.2452965	0.092023715
240	SMED30001482	0.6202459	-1.3679825	-0.42041364	1.2492381	-0.081087805
266	SMED30001612	1.1338159	-1.1519204	-0.80616164	0.8581919	-0.033925693
276	SMED30001647	1.3518666	-0.39598468	-1.2045108	0.6409858	-0.39235684
319	SMED30001895	0.6968507	-0.8797033	-1.238726	0.3980304	1.0235482
364	SMED30002141	1.3125128	-0.5887896	-0.8323973	0.83914495	-0.7304708
386	SMED30002274	1.6685096	-0.71094805	-0.31939238	0.13090838	-0.76907754
404	SMED30002355	0.9028611	-1.6475973	0.6628083	0.15842469	-0.07649681
420	SMED30002455	1.6738753	-0.89163715	-0.27101392	0.05982457	-0.57104886
421	SMED30002458	1.3822981	-0.74645394	-0.86969084	-0.49477687	0.72862357
433	SMED30002515	0.5667241	-0.5409105	-1.5026646	0.8757104	0.6011405
573	SMED30003251	1.2884125	-0.57572687	-0.73580563	0.86796373	-0.8448437
616	SMED30003469	1.4402634	-0.7887751	-1.0216763	-0.12404459	0.4942326
682	SMED30003859	1.471894	-0.19148053	-1.1856544	0.3922777	-0.4870368
716	SMED30004020	1.4767165	-1.0576136	0.44815934	-0.18479069	-0.6824716
752	SMED30004234	1.5846404	-0.48503563	-0.6318821	0.37646568	-0.8441884
805	SMED30004551	1.6943622	-0.8259466	-0.6314161	-0.01805537	-0.21894413
879	SMED30004951	1.3563544	0.47257322	-0.7694017	0.09621656	-1.1557425
908	SMED30005123	1.1859485	-1.4722316	-0.26604363	-0.042229757	0.5945566
940	SMED30005321	0.63146126	-1.2362958	-0.93036175	0.8876868	0.64750946
971	SMED30005527	0.9698642	-1.3006686	-0.72277945	0.14587508	0.9077087
979	SMED30005562	1.5843265	-1.1658019	-0.32442254	0.055754688	-0.14985679
1000	SMED30005661	1.3391017	-1.240536	0.44556627	0.12875082	-0.67288274
1003	SMED30005667	0.8103223	-1.581567	0.42641622	0.7204741	-0.37564555
1089	SMED30006106	1.4732317	-0.38621336	-0.6789454	0.54968727	-0.9577602
1164	SMED30006518	1.4276733	-1.3286449	0.27182016	-0.34943786	-0.02141078
1176	SMED30006606	0.91692626	-1.3197367	0.27845955	0.87834644	-0.75399554
1213	SMED30006811	0.25901052	-0.39243734	0.14986335	1.3622401	-1.3786767
1287	SMED30007268	0.55694497	-1.5796078	0.17248444	1.0589262	-0.20874779
1295	SMED30007305	0.8881349	-1.2568913	-0.7588478	1.0219752	0.105628945
1308	SMED30007379	1.4029329	-1.2322801	0.5173332	-0.27702615	-0.41095972
1348	SMED30007592	1.5030704	-1.3044306	-0.18584734	-0.054453336	0.04166091
1362	SMED30007660	1.6133838	-0.745678	-0.2523565	0.23451824	-0.84986746
1367	SMED30007676	1.5105418	-0.9524084	-0.6434783	-0.400879	0.48622388
1437	SMED30008052	0.4063211	-0.41341245	0.00886279	1.3526121	-1.3543836
1460	SMED30008206	0.50067186	-1.2474371	-0.35513368	1.4053551	-0.30345607
1545	SMED30008716	0.4392587	0.4765264	-1.0749593	1.1777147	-1.0185406
1556	SMED30008797	0.40996125	-0.3448365	-0.43205038	1.498574	-1.1316483
1563	SMED30008838	1.138304	-0.8758476	-1.031861	0.9215571	-0.15215261
1580	SMED30008917	1.7839124	-0.39691687	-0.5672919	-0.44403166	-0.37567192
1769	SMED30010054	0.93559414	-1.192549	-0.5527602	1.1359961	-0.32628107
1814	SMED30010280	0.32971847	-1.1101815	-0.18519405	-0.55597836	1.5216353
1818	SMED30010317	1.4663689	-0.5210813	-1.2358003	0.07879153	0.21172118
1945	SMED30011047	1.2404151	-1.5458714	0.18244442	-0.062590934	0.18560286
1985	SMED30011303	1.3547193	-1.122013	-0.78514963	0.537723	0.014720227
2144	SMED30012260	1.6981864	-0.9503092	-0.2379604	-0.13997385	-0.3699429
2162	SMED30012307	0.9046022	-1.3610197	0.32062924	0.8480537	-0.7122655
2235	SMED30012721	1.2862686	-0.53917253	-1.3178862	0.56385624	0.0069338367
2251	SMED30012814	1.7637398	-0.72020036	-0.297235	-0.33014387	-0.41616058
2302	SMED30013075	1.7736766	-0.5693616	-0.5625977	-0.2596966	-0.38202074
2374	SMED30013470	1.4607592	-1.2536277	-0.28086513	0.36320773	-0.28947407
2431	SMED30013817	1.6967174	-0.3603061	0.052675527	-0.80357057	-0.5855163
2461	SMED30014010	1.6388319	-1.0479975	-0.075320385	-0.061057784	-0.4544562
2530	SMED30014375	0.95922947	-1.0873586	-0.7553375	1.1261085	-0.24264187
2552	SMED30014500	1.0149853	-1.5075206	-0.33046815	0.76456684	0.05843648
2559	SMED30014517	1.7574934	-0.38249585	-0.7573879	-0.29212064	-0.32548898
2596	SMED30014717	0.48587686	-0.9472469	-0.5385836	1.518952	-0.51899844
2711	SMED30015330	0.98218894	-0.70758504	-0.86779904	1.1925923	-0.59939706
2767	SMED30015654	0.8699634	-0.7319568	-1.3819128	0.51225233	0.73165387
2790	SMED30015799	0.78255236	-1.1871356	-0.8440786	0.13124166	1.1174202
2798	SMED30015864	0.8016339	-0.6359808	-0.8588821	1.3403323	-0.64710325
2870	SMED30016340	1.6619298	-0.47746485	-0.19932693	-1.07474625E-4	-0.9850306
2918	SMED30016700	0.5643742	-0.055134624	-1.7090275	0.46219662	0.7375913
2925	SMED30016732	0.7904192	-1.1491283	-0.8066016	-0.01949125	1.1848019
2962	SMED30016948	1.6663729	-0.2032235	0.062307406	-0.84790456	-0.6775523
3075	SMED30017501	1.0044501	-1.545832	-0.38074628	0.33585313	0.5862751
3107	SMED30017717	0.5908099	-1.4304813	-0.5919355	1.0545732	0.3770338
3172	SMED30018078	1.7370707	-0.16920292	-0.22430444	-0.6948274	-0.6487359
3204	SMED30018255	1.7789937	-0.5514782	-0.51136035	-0.43908617	-0.2770689
3298	SMED30018829	0.46888572	-0.27892676	-1.1071608	-0.55528057	1.4724824
3392	SMED30019324	1.3974794	0.48551092	-1.2506926	-0.16252859	-0.469769
3401	SMED30019353	1.717361	-0.6506368	-0.44885132	0.03384048	-0.6517133
3506	SMED30019951	1.3188058	-0.38733038	0.087909706	0.38008985	-1.399475
3631	SMED30020700	0.83694226	-0.8486876	-1.305654	0.716811	0.60058844
3678	SMED30021001	1.6263125	-0.0019503754	-0.8578728	0.020119453	-0.78660876
3715	SMED30021234	0.4244164	-0.51610196	-0.33221942	1.5068061	-1.0829011
3840	SMED30021941	1.0546267	-1.1171621	-1.0084592	0.692352	0.37864253
3854	SMED30022013	1.3323553	-1.195057	-0.6421864	0.61077964	-0.105891496
3874	SMED30022133	1.7168169	-0.6118656	-0.21639667	-0.100352794	-0.7882018
3892	SMED30022247	0.6391791	-1.2973971	-0.68974453	0.16214046	1.185822
4012	SMED30022929	1.1312178	0.07777423	-0.9504909	0.81347233	-1.0719736
4015	SMED30022942	0.6045269	-1.0030645	-1.0922627	1.147972	0.34282836
4069	SMED30023243	1.4321107	-0.9519539	0.26641762	0.21543083	-0.96200526
4113	SMED30023465	0.64165545	-1.2654697	-0.903112	0.7110151	0.8159112
4118	SMED30023487	1.5337658	-0.025375227	-0.0057211914	-0.24247405	-1.2601953
4181	SMED30023773	1.766017	-0.68950415	-0.38529176	-0.24962792	-0.44159308
4206	SMED30023928	0.77260923	-0.32311073	-0.83867425	1.3169895	-0.92781377
4246	SMED30024160	1.6567426	0.030536136	-0.113177456	-0.75123745	-0.82286376
4288	SMED30024361	0.8200068	-1.4593502	-0.5408308	0.9133381	0.26683602
4304	SMED30024475	1.7029221	-0.07899641	-0.47379258	-0.2526278	-0.8975053
4336	SMED30024665	1.4918333	-0.0054951054	-0.77971166	0.32373622	-1.0303628
