Original row	Sample	0h	6h	3d	7d	11d
38	SMED30001233	-0.8924526	-0.6716714	1.5952557	-0.33732694	0.30619517
522	SMED30017934	-0.98288995	-1.1280335	1.1263765	0.42872256	0.55582434
543	SMED30018592	-1.1054405	0.15669341	1.5939211	-0.2739069	-0.37126708
652	SMED30022393	-0.45456493	-0.4120108	1.7881126	-0.48954123	-0.4319957
694	SMED30023681	-0.57826906	-0.6462087	1.7581884	-0.18209256	-0.351618
712	SMED30024275	-1.0916731	0.73029417	0.73029417	-1.0992093	0.73029417
715	SMED30024357	0.014610758	-1.5125067	1.2675848	0.31367105	-0.0833599
913	SMED30032336	-0.9856137	-0.6588461	1.5721638	-0.20897973	0.28127572
1012	SMED30035448	-0.35552853	-1.5661105	0.95538664	0.62684816	0.3394042
1089	SMED30000438	-0.67166233	-1.3797101	0.987883	0.7596174	0.30387214
1188	SMED30001144	-0.5954928	-1.3263232	1.2569331	0.12587452	0.5390083
1278	SMED30001762	-0.07472034	-0.30444172	1.4507811	-1.3177247	0.24610572
1360	SMED30002343	0.6767455	-1.2624431	1.2908918	-0.22375198	-0.48144215
1382	SMED30002449	-0.99298865	-0.7000942	1.1696596	-0.45199427	0.97541755
1409	SMED30002636	-0.39275035	-0.66730475	1.7288626	-0.64086235	-0.02794514
1514	SMED30003358	-1.1639253	-0.76586413	1.1961201	-0.05677572	0.790445
1622	SMED30004087	-0.9152361	-1.192854	1.1172371	0.48261133	0.5082418
1640	SMED30004208	-1.3529505	-0.64392376	1.1768254	0.5398881	0.2801607
1676	SMED30004475	-0.56693214	-1.3482007	1.2907183	0.31681943	0.307595
1817	SMED30005308	-0.63544565	0.0020413324	1.7286211	-0.6121205	-0.48309627
1870	SMED30005611	-1.5908139	0.33965132	1.1611532	0.07346996	0.01653949
1985	SMED30006380	-0.842475	-1.0362896	1.4499488	0.31939995	0.10941581
2038	SMED30006721	-0.37352008	-0.47796527	1.7852402	-0.5339613	-0.39979354
2173	SMED30007638	-1.3535994	0.04994851	1.4464325	0.10596947	-0.24875103
