p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30013692 0 0.705330587974061 0.947 0.896 0
SMED30002262 0 0.603905631881786 0.991 0.983 0
SMED30031105 0 0.308934199820322 1 0.999 0
SMED30012579 0 -0.509377578789972 0.239 0.524 0
SMED30022157 6.23597292369527e-279 0.285234027719173 0.181 0.024 1.36680054541553e-274
SMED30027385 6.23112345333957e-263 -0.283091289434279 0.999 0.999 1.36573763850297e-258
SMED30019357 1.26461506099008e-237 0.395592446590426 0.127 0.007 2.77178329067806e-233
SMED30013522 5.27105341862499e-211 0.172608399111808 0.116 0.007 1.15530948829422e-206
SMED30031751 1.90058985834563e-173 0.379968338507419 0.621 0.503 4.16571285152195e-169
SMED30019092 1.81170298706578e-160 -0.291145142609704 0.338 0.521 3.97089060705077e-156
SMED30007522 3.89192321485075e-145 0.0239180200964089 0.149 0.04 8.53031730230986e-141
SMED30006394 6.94801963583091e-144 0.162259367925359 0.133 0.031 1.52286694378142e-139
SMED30001801 2.60273803399084e-143 -0.336828694993927 0.514 0.644 5.70468122290113e-139
SMED30028497 6.08855450026168e-137 -0.435925237348209 0.578 0.672 1.33448937536736e-132
SMED30026445 3.96511518889103e-135 0.412188551683455 0.606 0.479 8.69073947101137e-131
SMED30011012 3.01985264603845e-133 0.143904192968034 0.099 0.015 6.61891302958706e-129
SMED30019930 1.29978192861282e-129 0.223910728405225 0.069 0.003 2.84886203113358e-125
SMED30020470 6.54280437246916e-127 -0.262704935579534 0.625 0.733 1.43405186235779e-122
SMED30027180 4.66903862759916e-118 0.122849553800005 0.076 0.008 1.02335988639718e-113
SMED30000103 6.38565821766676e-108 0.371045125076034 0.602 0.495 1.3996085681482e-103
SMED30015808 3.22837623610399e-107 0.293777062361137 0.826 0.773 7.07595503429272e-103
SMED30011723 2.08398434794481e-104 -0.212375982376998 0.171 0.308 4.56767689382544e-100
SMED30014511 3.24150100132866e-103 0.208242593691137 0.253 0.132 7.10472189471216e-99
SMED30019910 1.30777073358223e-102 0.31105910533014 0.528 0.431 2.86637189386554e-98
SMED30030540 1.72191969975018e-101 0.0282155805094094 0.107 0.029 3.77410359791244e-97
SMED30019680 4.9662340957602e-97 0.173195919925293 0.052 0.002 1.08849918910872e-92
SMED30012412 1.1205686125873e-96 0.211103851280225 0.263 0.143 2.45606228506884e-92
SMED30002133 7.11736976363495e-91 0.253224597738092 0.96 0.939 1.55998510479351e-86
SMED30029767 1.46802098848123e-84 0.153714191675082 0.064 0.01 3.21760840255315e-80
SMED30004922 2.5353699862674e-81 0.203481414778219 0.128 0.049 5.55702393590089e-77
SMED30028495 1.32421271026504e-79 0.280110883417394 0.053 0.006 2.90240941835893e-75
SMED30001215 2.71894831074959e-79 0.0904970958232149 0.073 0.016 5.95939090750096e-75
SMED30018505 8.99755964526205e-73 -0.127900688653125 0.101 0.199 1.97208512304854e-68
SMED30031835 2.11020044043285e-72 0.122867251349624 0.134 0.056 4.62513732534072e-68
SMED30008048 7.79354877642431e-72 0.14849477235115 0.915 0.903 1.70819002081668e-67
SMED30035617 1.8616507038049e-71 0.252312061247964 0.756 0.697 4.08036601259958e-67
SMED30028486 4.34137472246729e-71 0.238000294002518 0.421 0.313 9.5154251167038e-67
SMED30005188 3.60581065691606e-69 0.21089661158808 0.072 0.019 7.90321579782862e-65
SMED30002195 6.65555824137146e-69 0.14972006389167 0.038 0.002 1.4587652553438e-64
SMED30007095 2.72595064257218e-68 0.22166720581331 0.791 0.743 5.97473861838971e-64
SMED30017989 6.04640334213067e-68 -0.118125753819842 0.083 0.171 1.3252506845282e-63
SMED30023331 2.53607267528471e-67 0.221787926323672 0.798 0.757 5.55856408968903e-63
SMED30002501 2.8917524858618e-67 0.0505764639666993 0.038 0.002 6.33814309851188e-63
SMED30024329 3.19584857695632e-66 0.142419132690033 0.202 0.112 7.00466091097286e-62
SMED30014140 5.8286296694283e-66 0.165869624183326 0.877 0.84 1.2775190509453e-61
SMED30035746 9.9920459212402e-66 -0.165124727247709 0.246 0.356 2.19005662501743e-61
SMED30031804 2.46089130273999e-64 0.0857210693798248 0.01 0.057 5.39378155734551e-60
SMED30001563 3.52403355809555e-64 -0.17123268003501 0.666 0.732 7.72397675263382e-60
SMED30012923 5.20881222670837e-64 0.0804979608414433 0.079 0.024 1.14166746384994e-59
SMED30034254 7.83474313685946e-64 -0.207314943911878 0.867 0.905 1.71721900073686e-59
SMED30009662 5.13839299106615e-62 -0.0918056393882335 0.05 0.009 1.12623297578188e-57
SMED30010228 4.72315000450182e-61 0.217612184505602 0.028 0 1.03522001798671e-56
SMED30008675 8.39302992261422e-61 0.163524941274625 0.252 0.156 1.83958429843859e-56
SMED30012282 8.16029634535731e-60 0.211205385934259 0.369 0.266 1.78857375297542e-55
SMED30015376 3.30205531122643e-59 -0.114520915260323 0.139 0.233 7.23744483114608e-55
SMED30014939 9.97198963374329e-59 0.110741735489887 0.134 0.063 2.18566068792385e-54
SMED30017411 4.33167630909095e-58 0.0389345501243055 0.027 0 9.49416813426554e-54
SMED30016871 2.20040300931455e-57 0.150309008336212 0.046 0.008 4.82284331581563e-53
SMED30032696 1.6343942022269e-56 -0.149928664671191 0.77 0.813 3.58226521244092e-52
SMED30014093 2.30777548038828e-56 0.25026627436516 0.026 0 5.05818229791502e-52
SMED30018158 2.46363862128376e-56 0.0621941714540054 0.05 0.011 5.39980313012974e-52
SMED30007813 9.0923737422465e-56 0.167980476532363 0.058 0.015 1.99286647682559e-51
SMED30024698 8.18861446283956e-55 0.188918506709536 0.436 0.333 1.79478051796517e-50
SMED30009120 9.25801626093259e-55 -0.148367101962092 0.224 0.331 2.0291720040712e-50
SMED30014118 2.31943410531576e-54 0.186550837204222 0.223 0.139 5.08373567203109e-50
SMED30002344 2.34007360620094e-54 -0.222397676728344 0.637 0.72 5.12897333007122e-50
SMED30032349 3.04407312692692e-54 -0.101870237984613 0.098 0.18 6.67199947959841e-50
SMED30001192 9.97992933072711e-54 0.181207264544499 0.535 0.445 2.18740091070877e-49
SMED30019754 1.45901162242914e-53 -0.167325642915411 0.355 0.467 3.1978616740402e-49
SMED30008553 7.32289328192105e-52 -0.208716927138436 0.695 0.766 1.60503174953145e-47
SMED30024095 9.01396470512304e-52 -0.127981241544612 0.222 0.324 1.97568078406887e-47
SMED30034731 9.7130373080245e-52 -0.183252468825804 0.003 0.035 2.12890351717281e-47
SMED30005126 1.94999355710488e-51 0.224619986773129 0.024 0 4.27399587846248e-47
SMED30008485 2.02561177925001e-51 0.232493797169612 0.404 0.33 4.43973589776018e-47
SMED30012378 2.05873635406812e-51 0.160207302222253 0.828 0.784 4.5123383408465e-47
SMED30031921 2.65096065396098e-51 0.150891467661748 0.338 0.24 5.81037556135168e-47
SMED30027307 3.19715766407349e-51 0.193349098713155 0.271 0.373 7.00753016811627e-47
SMED30003997 7.68585825368089e-51 -0.153977308166247 0.621 0.704 1.68458641204178e-46
SMED30009695 6.70804620980023e-50 0.164628956064512 0.329 0.238 1.47026956826402e-45
SMED30008009 1.02880505861838e-49 0.224192614200183 0.023 0 2.25493492747976e-45
SMED30020813 2.97798049641312e-49 -0.122630936233742 0.213 0.308 6.52713765203828e-45
SMED30035317 2.41336494952989e-48 -0.19412177904085 0.47 0.559 5.2896132963796e-44
SMED30013135 3.4213646177646e-48 0.163179328374437 0.394 0.305 7.49894696921644e-44
SMED30023553 6.2334615557561e-48 -0.121437188379833 0.18 0.269 1.36625010379062e-43
SMED30034381 2.3500161994053e-47 -0.208152465103031 0.649 0.72 5.15076550585654e-43
SMED30026819 1.08123374909374e-46 0.0626278469679431 0.051 0.014 2.36984813126367e-42
SMED30000193 5.40493903950801e-46 -0.104141581258675 0.077 0.144 1.18465453867937e-41
SMED30025098 5.66840369748955e-46 0.16328148131196 0.682 0.639 1.24240072241576e-41
SMED30007950 6.66011219957965e-45 0.14793072767847 0.27 0.187 1.45976339190387e-40
SMED30011307 7.28135651536495e-45 -0.0487837375629152 0.016 0.055 1.59592772103769e-40
SMED30018702 1.55202884649008e-44 -0.152060874733839 0.733 0.775 3.40173682573696e-40
SMED30034045 2.18547300617857e-44 0.164132021194455 0.376 0.288 4.79011973494218e-40
SMED30034174 3.87248119997053e-44 0.0480880330621303 0.034 0.005 8.48770429409541e-40
SMED30031389 4.07411870278614e-44 -0.139701316312652 0.808 0.853 8.92965337276667e-40
SMED30020317 6.18477566803156e-44 0.244591020170534 0.936 0.924 1.35557913091916e-39
SMED30026747 8.12865685562848e-44 -0.14399349911534 0.3 0.401 1.78163900961665e-39
SMED30023808 1.20293556428341e-43 0.117466161238169 0.183 0.111 2.63659416979638e-39
SMED30015300 1.23904352603861e-43 0.16369372415977 0.707 0.662 2.71573560037142e-39
SMED30013168 4.18693441378599e-43 -0.0953004868142791 0.032 0.08 9.17692284813614e-39
SMED30022837 5.1794945306755e-43 0.0483109625485096 0.049 0.014 1.13524161123346e-38
SMED30009163 7.00963428025283e-43 0.124600555302603 0.923 0.905 1.53637164154582e-38
SMED30010443 9.25588992741253e-43 -0.138830390221221 0.221 0.307 2.02870595429028e-38
SMED30002257 1.06801893400293e-41 0.160770431114001 0.415 0.33 2.34088389954762e-37
SMED30012817 1.77828527480932e-41 -0.107960271658481 0.163 0.243 3.89764566532706e-37
SMED30030464 2.48723607419724e-41 0.459621409962576 0.093 0.043 5.45152402742552e-37
SMED30030232 2.93588256819375e-41 0.101640137093551 0.077 0.033 6.43486741296706e-37
SMED30028938 4.83172204693133e-41 -0.173111125202763 0.715 0.772 1.05901683824641e-36
SMED30014114 2.12932855820116e-40 0.0748314314945039 0.101 0.049 4.66706233386529e-36
SMED30024361 3.04567749362679e-40 -0.0920019159523696 0.162 0.244 6.67551593053119e-36
SMED30026703 1.99207842415118e-39 0.0355164465442105 0.03 0.005 4.36623749005455e-35
SMED30008295 2.53807625530166e-39 0.146484147814994 0.845 0.809 5.56295553637019e-35
SMED30033268 3.15100050156492e-39 0.157439940098605 0.394 0.312 6.90636289933e-35
SMED30033251 3.68220750532152e-39 -0.117218403165611 0.244 0.334 8.0706624101637e-35
SMED30007486 8.87003612582769e-39 -0.0895658407521476 0.134 0.21 1.94413451805891e-34
SMED30029650 9.23128577429389e-39 -0.131892711901912 0.27 0.355 2.02331321600974e-34
SMED30035521 1.37272022593855e-38 0.109710329551826 0.023 0.002 3.00872819121211e-34
SMED30018993 1.49712110756565e-38 -0.0906595142560039 0.14 0.213 3.2813900435624e-34
SMED30000297 1.53559801455303e-38 0.0856253582691008 0.102 0.051 3.36572372829732e-34
SMED30004978 2.09968537610399e-38 0.17386284386999 0.403 0.325 4.60209040734473e-34
SMED30028672 2.16986255341929e-38 0.0468287320718734 0.04 0.01 4.7559047445844e-34
SMED30022312 2.70850593109074e-38 0.0379886804068155 0.052 0.017 5.93650329976469e-34
SMED30000559 3.65618305803334e-38 0.192945252863065 0.6 0.544 8.01362202659748e-34
SMED30014794 5.76408110574998e-38 -0.111114214187622 0.241 0.328 1.26337129675828e-33
SMED30013205 6.08141689831081e-38 0.13563741541328 0.786 0.753 1.33292495577176e-33
SMED30035950 1.16876859873734e-37 0.0244029443288971 0.053 0.018 2.5617070147125e-33
SMED30026858 1.28926285460471e-37 -0.0897848497777886 0.126 0.197 2.8258063247226e-33
