p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30002314 0 0.763195122697482 0.449 0.093 0
SMED30022157 0 0.381712114231026 0.298 0.028 0
SMED30001563 3.10132858683103e-299 -0.42531710986622 0.702 0.883 6.79749199661625e-295
SMED30019092 3.06416695564378e-295 -0.461240877964981 0.328 0.642 6.71604113338005e-291
SMED30012579 3.29401023373799e-290 -0.47165705956904 0.26 0.584 7.21981163030692e-286
SMED30000297 1.61682249832894e-243 0.334596644121533 0.282 0.053 3.54375155183737e-239
SMED30013522 3.26044199723218e-242 0.235422123536512 0.198 0.01 7.1462367695335e-238
SMED30015808 7.76131103094265e-235 0.513857900035717 0.936 0.867 1.70112415176201e-230
SMED30014511 1.43594000717392e-221 0.372392884247952 0.506 0.24 3.1472933077238e-217
SMED30007095 1.86929975109755e-216 0.471662903766241 0.906 0.801 4.09713119445561e-212
SMED30014140 3.23427859087675e-210 0.401018888322537 0.942 0.875 7.08889181548367e-206
SMED30008091 9.70634478317974e-208 0.723180042417323 0.418 0.169 2.12743664957734e-203
SMED30034571 3.36716114590651e-207 0.268516125471575 0.22 0.032 7.38014379959789e-203
SMED30021267 5.82246430970483e-206 0.334616932712067 0.338 0.107 1.2761677274011e-201
SMED30031751 1.51091890950206e-202 0.402150950800301 0.786 0.599 3.31163206584662e-198
SMED30023751 3.06540929877335e-184 -0.40631284334475 0.766 0.86 6.71876410105143e-180
SMED30027180 2.76180219753931e-183 0.195777623963012 0.152 0.008 6.05331805656666e-179
SMED30034174 2.72035922186582e-170 0.16021919771995 0.129 0.002 5.96248334248551e-166
SMED30013168 6.68005729079e-163 -0.318427391043014 0.156 0.382 1.46413495699535e-158
SMED30005965 1.59749586273465e-162 0.389722113545053 0.511 0.289 3.5013914319418e-158
SMED30020470 6.99485919547625e-159 -0.346432777675642 0.735 0.849 1.53313323846448e-154
SMED30008048 8.72432008387004e-159 0.30197465710977 0.952 0.913 1.91219647598264e-154
SMED30012412 1.9268437825345e-153 0.269031432842822 0.388 0.168 4.22325620255911e-149
SMED30001215 3.34929955048407e-151 0.192995000144656 0.154 0.018 7.34099475475099e-147
SMED30000129 2.55368167143419e-149 0.161856465253296 0.141 0.013 5.59715948744947e-145
SMED30010171 8.12033870594168e-149 0.28598732349867 0.942 0.898 1.7798158375683e-144
SMED30015635 4.4260792086899e-147 1.20160391777593 0.325 0.138 9.70108040960653e-143
SMED30003997 1.54698863630743e-144 -0.317233316198268 0.634 0.777 3.39068969305863e-140
SMED30035617 1.18210226311236e-143 0.412333447855344 0.865 0.767 2.59093174028968e-139
SMED30006394 5.40476244044313e-143 0.172578912977299 0.161 0.024 1.18461583169633e-138
SMED30002344 1.34247652553747e-140 -0.335602030633632 0.71 0.807 2.94244004867302e-136
SMED30011723 1.6442002650464e-140 -0.244424772482718 0.118 0.313 3.60375814092869e-136
SMED30031065 1.84745944418208e-137 -0.321852263460148 0.618 0.786 4.04926160975828e-133
SMED30009120 1.81838271016538e-135 -0.276078555840582 0.199 0.414 3.98553122414048e-131
SMED30029179 8.48757610738749e-135 0.427038677174875 0.656 0.485 1.86030693121719e-130
SMED30028497 7.92500435207699e-134 -0.383700614227121 0.821 0.884 1.73700245388823e-129
SMED30014939 1.26166506535627e-130 0.224034480578457 0.27 0.095 2.76531749024788e-126
SMED30001192 9.27792580126399e-130 0.298864397563474 0.694 0.515 2.03353577712104e-125
SMED30019910 6.61797801036725e-126 0.334868893632807 0.682 0.526 1.45052842031229e-121
SMED30023761 2.21500158967588e-122 0.23390315223772 0.254 0.092 4.8548404842516e-118
SMED30012282 6.99716421116883e-122 0.310980730289237 0.781 0.657 1.53363845180398e-117
SMED30023331 1.91697298823582e-119 0.328709982045096 0.924 0.872 4.20162139561526e-115
SMED30008485 8.50286365818647e-119 0.313473063740132 0.573 0.393 1.86365765660131e-114
SMED30003530 2.29276638960087e-116 0.112981490630932 0.1 0.006 5.02528537272719e-112
SMED30014469 5.51523116032874e-116 -0.319661241401424 0.637 0.792 1.20882836572085e-111
SMED30031308 3.7005830776371e-110 0.133862965596084 1 1 8.110937989565e-106
