p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30022157 6.3849773564131e-138 0.343507608798594 0.294 0.035 1.39945933697862e-133
SMED30002314 1.93358546382306e-122 0.595929049165455 0.363 0.095 4.23803261960739e-118
SMED30012579 1.00162265384519e-107 -0.460372424759865 0.308 0.552 2.19535653269789e-103
SMED30001563 1.0181698786931e-104 -0.398023159188124 0.662 0.814 2.23162474011954e-100
SMED30031751 1.06215386725552e-103 0.485579925198664 0.721 0.57 2.32802884625065e-99
SMED30019092 8.60917422575873e-101 -0.407890629166855 0.362 0.614 1.8869588068018e-96
SMED30013522 7.28292363806252e-95 0.20534475451987 0.179 0.009 1.59627120299054e-90
SMED30034174 1.34642369370667e-77 0.182258223217158 0.151 0.009 2.95109145186628e-73
SMED30006394 6.28384061161207e-77 0.173644080136667 0.189 0.027 1.37729218525313e-72
SMED30019910 1.83648666489489e-76 0.434547387786955 0.675 0.543 4.02521147211662e-72
SMED30001215 3.52398172689292e-75 0.214198269970604 0.196 0.032 7.7238631490039e-71
SMED30014511 5.54007550490693e-75 0.282687888917109 0.398 0.173 1.2142737491655e-70
SMED30015808 4.10468633263573e-73 0.517457401058975 0.885 0.816 8.996651503871e-69
SMED30020470 6.1083206622382e-69 -0.37449068865008 0.677 0.758 1.33882172274937e-64
SMED30011723 2.05511107670199e-61 -0.301506091912836 0.257 0.478 4.50439245791542e-57
SMED30012412 1.35218625629007e-58 0.240798899091238 0.352 0.158 2.96372183653658e-54
SMED30002734 3.96395582514517e-58 0.145251923355829 0.108 0.004 8.68819837755319e-54
SMED30012282 1.08173572541211e-57 0.310969608827445 0.488 0.294 2.37094836295826e-53
SMED30000297 4.46207992497258e-53 0.368452785333657 0.21 0.066 9.77998677955489e-49
SMED30014140 6.26725357420607e-53 0.347914321692289 0.879 0.824 1.37365663839449e-48
SMED30014469 8.0640181469744e-52 -0.310597853143392 0.542 0.706 1.76747149745385e-47
SMED30000129 1.61965887450946e-51 0.108346125957352 0.113 0.011 3.54996832114983e-47
SMED30024698 9.80236707909993e-51 0.281908127583474 0.557 0.369 2.14848281639712e-46
SMED30027180 9.33359405659524e-49 0.12210600754928 0.113 0.013 2.04573714532454e-44
SMED30007095 1.09796802718103e-47 0.390360070563495 0.857 0.794 2.40652632197537e-43
SMED30008091 1.4586045978045e-47 0.577642168605307 0.302 0.136 3.1969695574679e-43
SMED30016871 3.9339910083671e-46 0.0581519883712881 0.097 0.008 8.622521492139e-42
SMED30003997 4.37337624938997e-46 -0.27881929126562 0.667 0.763 9.58556606341293e-42
SMED30031835 5.00290938999233e-46 0.151845821771015 0.206 0.068 1.09653768009852e-41
SMED30032456 1.47269946809762e-45 -0.318605817180742 0.792 0.847 3.22786269417637e-41
SMED30035617 2.25150116473116e-45 0.386309284884419 0.843 0.761 4.93484025285775e-41
SMED30001801 4.12286572869862e-45 -0.303327222487861 0.644 0.731 9.03649710416163e-41
SMED30021267 9.7012144203647e-45 0.361450960114518 0.328 0.17 2.12631217665553e-40
SMED30001192 3.15866540865007e-44 0.246334297179121 0.623 0.466 6.92316284267922e-40
SMED30024329 6.31362305561131e-42 0.176292558550391 0.29 0.138 1.38381990132889e-37
SMED30008048 3.72359933184446e-41 0.210899630048355 0.91 0.891 8.16138501553668e-37
SMED30031921 3.80468488742032e-41 0.201395890334459 0.412 0.241 8.33910833624786e-37
SMED30031065 4.40989605740462e-41 -0.272633628357988 0.459 0.614 9.66561017861946e-37
SMED30026267 4.55679991876958e-41 0.725959811503243 0.163 0.047 9.98759406195917e-37
SMED30027307 5.08245904196188e-41 -0.395120198607705 0.2 0.361 1.1139733728172e-36
SMED30005922 7.15660832990045e-41 0.0996238765548293 0.084 0.006 1.56858541374758e-36
SMED30008485 9.96078873195694e-39 0.328078056673279 0.568 0.463 2.18320567427032e-34
SMED30009873 9.28351597177424e-38 0.633561298707967 0.138 0.036 2.03476103069348e-33
SMED30012923 1.19043754914811e-37 0.137948746572675 0.126 0.03 2.60920102022284e-33
SMED30034045 8.84739310579866e-37 0.220365393608071 0.555 0.391 1.93917162092895e-32
SMED30001234 1.13588820146615e-36 0.213119253473302 0.411 0.265 2.4896397599735e-32
SMED30007950 1.14841950781582e-36 0.190869067804083 0.37 0.212 2.51710587723072e-32
SMED30005965 6.99336190117795e-36 0.284694463871976 0.487 0.331 1.53280506150018e-31
SMED30021776 1.71542572689683e-35 0.449715306658317 0.365 0.236 3.75987010821247e-31
