Original row	Sample	0h	6h	3d	7d	11d
11	SMED30000012	1.5454997	-0.18870014	0.15455832	-1.2083561	-0.3030018
12	SMED30000013	1.08394	1.0132846	-1.1611769	-0.5451722	-0.39087543
50	SMED30000051	1.2467476	0.9303652	-0.7181853	-0.73227966	-0.726648
72	SMED30000073	0.12321129	1.3312339	-1.4855872	0.06646704	-0.035324924
87	SMED30000088	1.2516948	0.92425174	-0.7033956	-0.73124903	-0.74130183
103	SMED30000104	1.7879827	-0.3996467	-0.43829772	-0.47286254	-0.47717568
130	SMED30000133	0.8403539	0.6668873	-1.3751683	-0.7549693	0.6228965
188	SMED30000193	1.2366204	0.9422601	-0.7195677	-0.74271625	-0.7165966
198	SMED30000203	0.9507929	0.8676171	-1.1644078	-0.9489048	0.29490265
221	SMED30000227	1.0257984	1.0523366	-1.2096106	-0.43426222	-0.43426222
326	SMED30000335	1.0565006	0.820396	0.15378854	-1.2656077	-0.76507735
375	SMED30000385	0.95281374	1.0871185	-1.2360054	-0.22953859	-0.57438827
433	SMED30000443	0.8818332	0.64909893	-1.6585491	-0.08129947	0.20891641
437	SMED30000447	1.3695567	0.55079067	-0.7834998	-1.0979807	-0.038866848
515	SMED30000530	0.63446486	1.3898811	-0.22781035	-0.9011749	-0.89536077
526	SMED30000542	1.1477439	0.7434874	-1.4208767	-0.2209858	-0.24936883
531	SMED30000547	1.3753346	0.7633213	-0.6850664	-0.7298094	-0.7237801
623	SMED30000641	1.2454195	0.93180764	-0.7064418	-0.73575604	-0.7350292
675	SMED30000694	0.13709116	0.9714787	-1.4354318	0.8429718	-0.5161098
717	SMED30000736	0.7123652	1.3625903	-0.326946	-0.8492958	-0.89871377
740	SMED30000760	1.0131377	1.109688	-0.530466	-1.1067806	-0.48557907
770	SMED30000790	1.2407562	0.93744516	-0.71798575	-0.7229506	-0.737265
810	SMED30000832	1.2891802	0.87750846	-0.6789873	-0.75692505	-0.7307763
813	SMED30000837	1.4812584	0.58804494	-0.5429575	-0.7488934	-0.7774525
