Sample	0h	6h	3d	7d	11d
SMED30000009	29.4407	24.9107	36.903	39.8246	37.4046
SMED30000013	6.52594	5.40032	7.24591	8.26555	7.51676
SMED30000023	12.6849	38.3204	17.3294	45.3848	38.3207
SMED30000025	10.0956	11.5216	12.7958	14.2406	16.4161
SMED30000032	5.29788	4.97042	4.80892	6.68399	5.32728
SMED30000040	7.32353	8.33334	8.06889	7.92587	7.30056
SMED30000041	13.5015	12.4134	18.2974	14.2407	16.6499
SMED30000043	12.8968	13.2263	19.2664	23.4852	18.1703
SMED30000044	13.2498	9.80407	3.87903	3.2506	12.498
SMED30000046	8.34276	10.2639	8.10236	10.7177	8.69118
SMED30000049	6.10368	9.70116	6.09523	6.89854	6.75832
SMED30000054	18.9277	19.8914	22.8986	24.1853	21.7677
SMED30000064	7.51624	9.87147	7.29519	9.61753	9.11431
SMED30000065	6.0209	3.81954	5.03842	6.62706	5.7036
SMED30000093	5.51997	5.22804	5.4675	4.71659	5.55494
SMED30000096	5.51347	6.81845	6.13197	8.0507	6.93932
SMED30000107	21.8304	26.1579	27.2709	26.1072	24.4928
SMED30000109	11.9811	13.0863	13.1924	12.1599	10.6676
SMED30000112	10.165	9.88776	11.5739	16.3697	11.8811
SMED30000118	11.543	13.0435	12.9363	10.9702	10.4266
SMED30000119	3.72023	4.45438	3.12623	3.0966	3.65639
SMED30000126	4.38655	5.58519	3.93637	4.36816	5.92079
SMED30000130	7.01722	6.54378	6.45166	6.28776	7.75449
SMED30000131	7.07537	8.99949	10.1389	12.9498	14.1175
SMED30000132	55.8879	53.5557	59.5688	66.8177	54.0379
SMED30000153	18.2886	22.7916	23.8597	19.0409	21.0465
SMED30000156	3.82128	3.34567	3.38994	4.06503	4.43608
SMED30000160	13.3831	15.2485	21.0682	21.9627	26.0304
SMED30000188	6.77046	9.2718	9.15616	9.45531	7.60227
SMED30000193	10.5117	5.56921	6.24578	10.6079	5.5928
SMED30000194	5.1642	8.3045	11.5153	11.7132	10.6678
SMED30000196	42.3605	62.1383	73.9901	74.4625	64.711
SMED30000200	3.50223	11.214	7.62689	10.5691	7.57082
SMED30000203	29.1544	43.7785	13.6827	50.1364	32.6638
SMED30000223	19.1775	22.5142	31.0958	27.291	20.4532
SMED30000242	6.63063	6.1313	7.47768	7.08248	5.57126
SMED30000261	22.352	17.3374	17.4717	24.0848	20.6537
SMED30000262	11.9093	13.1565	15.1712	13.1663	16.0526
SMED30000274	14.0988	19.6354	16.4029	19.1681	17.1931
SMED30000275	13.5985	17.0073	17.5056	13.1561	15.8838
SMED30000282	6.04777	7.00347	6.55893	5.88775	5.66475
SMED30000291	8.78569	8.95999	11.078	11.7533	10.0848
SMED30000293	4.78668	4.32068	4.94762	4.46813	4.77861
SMED30000299	1.9868	2.23077	2.33786	2.7999	2.28188
SMED30000310	10.568	12.2852	10.2468	14.1446	12.874
SMED30000311	7.67918	9.07687	9.85797	14.0799	15.35
SMED30000316	11.6927	10.7891	14.5761	22.1239	23.1336
SMED30000338	8.39641	12.7357	10.5099	12.3313	14.6259
SMED30000343	9.85893	8.4659	13.8206	20.2359	17.4168
SMED30000345	24.5207	37.3971	38.8479	38.6599	35.0534
SMED30000350	2.89835	7.52679	7.56668	8.43137	8.21
SMED30000362	2.33467	2.09814	2.49663	2.30803	2.41328
SMED30000370	19.4413	24.5029	33.2294	35.0034	35.4837
SMED30000371	11.2563	13.4215	14.0279	12.9259	13.2803
SMED30000373	6.6458	5.6968	5.87055	7.87163	6.72412
SMED30000377	15.6882	20.5619	19.6868	16.1159	22.5278
SMED30000378	2.45338	2.67038	2.71405	2.29966	2.14186
SMED30000393	7.53404	10.5876	7.39499	7.82098	7.83307
SMED30000403	5.35366	6.01713	6.91265	7.68585	9.31457
SMED30000411	3.29718	9.85862	5.84335	10.7291	9.43171
SMED30000418	6.79091	6.70713	7.8258	8.85612	11.3994
SMED30000421	35.1226	35.7396	37.7238	41.185	35.1429
SMED30000424	3.38992	3.33104	3.48237	7.90193	7.53148
SMED30000440	12.7813	14.4748	16.0198	19.6088	16.9507
SMED30000459	7.26179	5.18978	6.79338	9.38987	8.19376
SMED30000463	2.28336	4.15972	2.95426	4.3882	6.3888
SMED30000473	18.0717	23.6875	25.7963	26.2516	10.386
SMED30000475	3.38992	3.91575	3.45841	5.47864	5.40119
SMED30000479	4.78264	5.57302	10.8229	11.4	11.1581
SMED30000483	5.51364	17.1158	18.2065	21.3497	18.2812
SMED30000488	14.9503	18.3649	20.1452	14.6789	12.9857
SMED30000500	29.5414	27.0004	37.0659	45.0477	38.4288
SMED30000510	12.4475	11.3454	16.1426	16.9321	13.9446
SMED30000511	24.454	31.0447	31.4374	29.4224	31.3581
SMED30000512	5.61625	6.17237	7.43174	11.0714	7.73993
SMED30000513	9.50321	9.55198	8.92365	7.84866	7.09869
SMED30000517	5.37772	5.73504	7.52895	11.5124	9.78046
SMED30000524	4.4732	4.55085	4.35891	4.40682	4.26245
SMED30000527	28.8824	39.4361	60.0306	41.5018	52.4102
SMED30000559	4.30926	8.28005	7.74721	7.053	5.41259
SMED30000562	7.85254	7.04834	8.38181	9.09465	8.0154
SMED30000564	11.2934	10.8702	4.97603	4.26887	5.77071
SMED30000565	8.84872	14.3022	17.4822	17.4696	13.069
SMED30000573	19.0172	16.1806	17.1776	23.7465	19.4131
SMED30000576	6.08074	11.4486	12.1012	12.9829	12.5313
SMED30000581	9.30205	23.4211	18.3414	17.3219	9.01035
SMED30000584	38.9467	48.0108	47.8689	52.773	54.4497
SMED30000596	13.7707	11.6875	11.0653	12.6218	13.7139
SMED30000608	3.08868	4.31615	4.5461	4.31818	5.96077
SMED30000613	6.11197	6.86375	8.91489	6.85811	6.7733
SMED30000621	26.0266	17.5218	20.5296	22.9036	21.1007
SMED30000625	15.6313	19.6261	25.1947	26.5172	20.8046
SMED30000640	4.77982	4.9184	6.71309	7.21598	12.1376
SMED30000643	29.2742	29.2398	35.8782	39.9196	34.6107
SMED30000644	8.72805	12.763	17.9818	15.6494	11.159
SMED30000646	3.73867	3.83028	4.42746	5.34948	4.42729
SMED30000648	8.87922	11.7706	12.6258	19.2191	18.776
SMED30000661	17.9735	18.5208	49.0156	22.6331	17.7878
SMED30000664	34.6709	40.6643	41.5796	42.7524	42.1726
SMED30000668	9.41128	9.62508	11.8851	13.7524	13.0778
SMED30000671	15.0339	20.2836	15.3615	22.6297	21.7593
SMED30000681	6.07681	5.79392	10.5525	7.07297	6.23586
SMED30000684	4.19898	4.36605	5.31352	4.91615	4.41212
SMED30000686	9.31213	8.5127	8.22294	7.33655	8.57678
SMED30000689	38.9987	41.1719	30.9996	43.5022	40.526
SMED30000690	12.1854	10.3345	11.4577	17.1762	13.36
SMED30000691	5.30186	5.64326	6.16881	7.27151	6.32986
SMED30000692	6.52404	10.3814	11.1846	12.1589	10.9397
SMED30000694	7.46756	7.89359	9.21083	9.75132	8.85048
SMED30000696	4.67637	14.6322	5.26642	9.41231	16.5477
SMED30000699	31.3679	30.4786	29.878	40.095	34.7801
SMED30000712	3.96106	4.28835	5.43956	5.55796	9.62756
SMED30000714	33.9674	16.3504	19.4185	35.6963	19.6313
SMED30000725	14.5585	14.6416	13.6132	16.6224	14.9179
SMED30000732	5.62875	11.7988	6.66269	8.90579	10.179
SMED30000754	5.75355	7.40932	7.33175	6.05804	7.8765
SMED30000756	6.02287	16.0476	16.9644	17.1739	16.7636
SMED30000763	6.14983	5.17572	5.41924	7.81794	5.90946
SMED30000765	15.6603	13.4197	15.1498	17.868	15.8267
SMED30000771	8.33535	13.1753	16.7342	17.2946	14.997
SMED30000773	11.5048	10.5338	13.7208	14.4869	14.5025
SMED30000778	7.14005	7.94049	7.63489	6.82771	6.50228
SMED30000786	23.7934	19.4059	25.5202	27.3245	22.2932
SMED30000789	7.25864	9.45479	10.0614	12.1362	12.1855
SMED30000805	25.5371	27.7635	32.5601	41.6065	34.7336
SMED30000816	3.48655	3.7342	3.96821	5.02678	4.9442
SMED30000817	7.93911	7.906	14.7167	14.9828	8.68815
SMED30000819	19.8752	19.196	19.5443	25.3507	23.4355
SMED30000821	7.60744	8.03693	7.87758	14.3304	9.23181
SMED30000845	15.6279	16.7401	25.5777	27.2109	22.712
SMED30000846	11.0023	13.8635	13.257	17.4863	11.2364
SMED30000852	3.3362	4.29393	3.61933	3.66123	3.37411
SMED30000853	7.75382	7.09357	6.81573	6.1007	7.09171
SMED30000858	5.45381	5.17001	5.99492	4.67194	5.9055
SMED30000862	10.0007	22.0016	26.9969	38.1246	40.7
SMED30000872	8.63764	11.5669	10.8842	13.473	12.6434
SMED30000878	11.4312	6.37719	9.30335	10.2304	11.4566
SMED30000882	62.4296	68.6717	68.4584	71.3757	53.3925
SMED30000905	8.43748	7.45852	6.07635	6.25694	8.42447
SMED30000919	14.0708	14.1848	22.5784	29.9483	21.0043
SMED30000921	8.37473	7.88937	7.75825	7.46095	7.02479
SMED30000930	10.621	8.52742	9.73621	10.1113	10.8891
SMED30000934	5.13298	14.2078	7.11405	12.9145	13.0395
SMED30000946	3.70556	4.16886	3.57371	4.17672	4.14076
SMED30000950	13.378	13.5969	15.1837	18.8017	16.0918
SMED30000957	10.107	14.1042	19.9183	24.935	18.4707
SMED30000968	4.98629	7.80443	10.5747	11.1034	11.4653
SMED30000976	5.27777	6.26155	7.77833	6.55419	6.13121
SMED30000977	13.0841	12.6452	15.8247	19.6488	15.6962
SMED30000984	9.09232	11.2638	13.3103	15.6179	15.5437
SMED30000995	7.72219	3.5417	8.31247	8.68131	7.44018
SMED30000996	4.62111	4.92931	5.32606	4.99361	4.84824
SMED30001001	5.99574	5.97823	6.27965	7.63906	7.02233
SMED30001010	13.1248	13.7443	14.2253	13.3508	14.7685
SMED30001022	9.40362	10.7753	13.2381	9.46207	11.8133
SMED30001030	8.14609	7.75367	8.10767	11.1788	10.6355
SMED30001031	9.05688	14.2003	18.2628	13.7548	12.3367
SMED30001036	8.35238	7.68013	9.63052	9.80708	9.06794
SMED30001043	10.1547	11.0529	9.7193	9.44888	7.23283
SMED30001057	10.1881	11.1453	10.9969	14.1614	9.26082
SMED30001058	4.83354	4.92385	5.13878	5.30466	5.50652
SMED30001060	9.65657	10.1994	9.89965	8.89058	9.47332
SMED30001067	10.711	13.5395	12.0358	12.4811	10.6285
SMED30001071	13.6022	17.8678	20.9966	14.1959	12.3398
SMED30001076	9.19779	8.46754	10.5694	14.9	12.9764
SMED30001081	7.2739	7.09823	7.53582	6.73392	7.51498
SMED30001084	8.49512	8.76872	9.84951	10.9774	9.28514
SMED30001087	6.4249	6.4913	6.54095	7.43489	6.94397
SMED30001093	11.9912	12.9621	14.6335	18.4352	15.641
SMED30001101	9.99508	9.32083	13.1114	19.0277	15.4423
SMED30001106	25.0583	13.0852	14.7027	25.971	14.2625
SMED30001112	14.9905	22.2728	16.1535	14.8044	18.953
SMED30001113	20.9047	17.283	25.2287	18.3262	8.01354
SMED30001115	10.9235	11.9207	9.77534	14.8147	13.808
SMED30001116	36.7448	44.4706	53.8708	86.1537	56.584
SMED30001117	5.33189	5.485	6.60588	6.11702	6.9795
SMED30001121	15.9302	19.543	24.398	22.4247	20.316
SMED30001122	10.3048	10.589	12.1743	11.845	10.1545
SMED30001127	26.7656	23.8476	28.8821	24.8915	21.3372
SMED30001139	18.0555	24.437	14.9345	11.2344	22.654
SMED30001142	4.97662	9.05747	10.4189	10.7762	11.404
SMED30001147	19.7158	25.6126	19.5206	22.8648	20.1919
SMED30001148	25.6508	36.7589	30.636	45.6123	49.7291
SMED30001151	7.85015	7.98408	9.68693	9.85899	7.91668
SMED30001152	5.72375	5.4708	6.18358	10.7361	6.56124
SMED30001161	2.64062	3.04264	2.71119	2.9726	2.86382
SMED30001174	17.1728	16.7052	19.8769	23.7845	20.2439
SMED30001176	4.90327	5.924	8.75364	7.4048	14.7741
SMED30001190	23.8783	18.8753	22.7746	28.2313	29.6281
SMED30001191	12.7627	6.8726	9.23755	8.95288	9.15776
SMED30001192	6.00528	5.19341	4.48602	3.35834	3.88279
SMED30001195	7.60021	8.08924	11.136	8.80402	8.79195
SMED30001214	4.57449	5.85823	5.31501	4.99849	5.2553
SMED30001220	18.9784	19.441	22.5382	22.997	24.5549
SMED30001222	6.36255	7.03622	6.26413	6.18638	6.20397
SMED30001223	8.54476	4.76082	10.9623	10.9205	5.87479
SMED30001230	4.75973	5.49754	8.59555	7.76978	6.28788
SMED30001234	8.88488	9.71718	12.7163	13.2223	12.2819
SMED30001235	6.77564	7.71704	8.18209	12.2636	9.83416
SMED30001237	4.18191	2.87816	2.96404	3.43077	2.83998
SMED30001251	9.23771	11.4841	15.0241	15.9097	15.3738
SMED30001253	11.4871	32.6814	35.7593	45.2724	38.2742
SMED30001262	5.39375	5.44904	6.08113	8.50571	7.43742
SMED30001280	3.84437	3.38416	3.39629	5.10549	4.90377
SMED30001282	7.86516	7.21037	7.13757	8.77758	9.39287
SMED30001292	4.69165	4.47159	4.80638	4.98337	5.31427
SMED30001294	3.04258	2.90897	3.24702	4.33787	3.65293
SMED30001299	8.01265	8.69835	11.2036	9.51692	10.3495
SMED30001301	4.22941	3.55643	2.68661	2.83591	3.55692
SMED30001306	14.3481	15.4396	17.0338	20.5398	17.8456
SMED30001318	14.5917	7.87195	9.05472	8.90979	8.66369
SMED30001326	6.3476	5.60066	6.33986	7.34154	8.30574
SMED30001328	8.05557	7.5093	8.30856	10.2369	7.91152
SMED30001334	16.1272	18.1879	24.7969	26.0092	30.8777
SMED30001335	15.3173	18.0605	19.6266	28.073	19.8928
SMED30001344	3.26605	3.1874	3.54725	3.79313	3.85166
SMED30001347	11.0283	11.6068	13.8565	13.4153	14.8698
SMED30001351	16.7526	19.1747	21.1112	27.4447	36.8975
SMED30001353	8.09881	10.0656	10.4709	16.0752	11.8376
SMED30001360	8.16586	9.00582	9.8032	10.3277	10.7811
SMED30001361	20.6036	22.0693	25.5486	32.1468	29.0231
SMED30001366	4.37856	4.38609	4.65999	4.66731	4.21021
SMED30001371	5.4038	5.75343	6.16787	8.54659	6.20523
SMED30001376	41.793	30.0187	32.4169	41.8085	40.2582
SMED30001388	4.51948	6.79003	6.52857	6.66933	7.23817
SMED30001395	3.88465	4.01778	4.164	3.49894	2.97341
