Sample	0h	6h	3d	7d	11d
SMED30000015	74.1055	75.2906	77.0126	76.8719	75.8965
SMED30000053	2.83706	2.40038	6.45498	8.38592	8.40607
SMED30000058	178.357	173.808	228.537	283	311.074
SMED30000098	0.0117712	0	0	0	0.0097275
SMED30000153	5.58338	4.74336	5.60577	5.84487	6.86223
SMED30000196	6.3877	6.31732	7.12736	9.65738	11.468
SMED30000208	0.178869	0.205578	0.111232	0.216076	0.141916
SMED30000223	6.89287	7.86417	7.19021	5.78544	5.51945
SMED30000242	25.6998	23.9364	24.5083	31.0967	29.9919
SMED30000244	3.31036	3.86108	5.51199	6.14188	6.83605
SMED30000318	2.3801	1.72396	1.46334	1.50555	1.6572
SMED30000360	4.98298	4.50133	5.59987	6.29119	6.81137
SMED30000403	9.81557	9.19665	10.0948	10.201	10.4358
SMED30000408	0	0.00822393	0.0254078	0.0240706	0.029863
SMED30000440	10.144	10.1039	11.3131	13.5009	13.6965
SMED30000463	134.776	131.773	130.074	129.359	123.86
SMED30000491	41.257	38.1507	41.5346	43.444	47.8274
SMED30000707	5.23783	5.36777	5.82499	8.1543	9.26351
SMED30000747	0.108191	0.150829	0.0361101	0.104871	0.0794354
SMED30000752	1.26277	1.31717	1.72087	2.57216	3.19514
SMED30000756	4.76639	4.99239	6.24447	6.89297	7.02889
SMED30000777	1.91807	1.75884	1.35065	0.69099	0.634752
SMED30000785	2.63048	2.53719	3.27995	3.38046	4.15551
SMED30000797	2.19569	1.54557	1.5677	1.62709	1.83276
SMED30000852	16.1975	16.4907	18.6675	17.7837	18.5947
SMED30000853	127.371	126.862	127.57	126.137	113.095
SMED30000924	1.4542	1.16078	0.895057	0.684637	0.582441
SMED30000927	1.40459	1.57565	1.17633	1.13467	1.2649
SMED30000937	0.155807	0.0739783	0.0974545	0.0442531	0.0532225
SMED30000967	2289.38	2247.11	2252.93	2674.6	2384.11
SMED30001009	0.302208	0.258786	0.207017	0.350809	0.255936
SMED30001010	3.25457	3.85125	4.60526	6.93126	7.97652
SMED30001025	0.0214854	0	0	0.0285043	0
SMED30001036	12.5177	13.2675	11.5188	10.8721	10.9482
SMED30001078	0.263966	0.148878	0.313593	0.35998	0.291287
SMED30001082	0.0470394	0.0556716	0.0969266	0.101266	0.0929081
SMED30001095	73.4682	70.6231	91.4952	104.799	99.7505
SMED30001233	1.77229	1.82484	2.36441	1.90442	2.05759
SMED30001260	0	0.016668	0.0095694	0.00790627	0.0114452
SMED30001264	5.77197	6.72733	6.78715	6.22696	6.65895
SMED30001300	44.0817	42.4137	47.7472	53.8404	58.0326
SMED30001306	28.6725	29.3485	28.3967	21.1372	19.5452
SMED30001351	1.32889	1.32307	1.54799	1.7406	1.63249
SMED30001403	0.0639708	0	0.0643534	0.0177891	0.0637747
SMED30001594	0.585581	0.682389	0.869707	1.02107	0.970703
SMED30001602	1.99847	2.33175	2.59261	2.68865	2.41426
SMED30001607	6.53415	6.11258	6.4928	6.45457	5.90929
SMED30001637	0.0148041	0	0.0470629	0	0.0562905
SMED30001651	0.536222	0.773173	0.908202	0.839393	0.835757
SMED30001702	14.0441	14.2898	15.8674	14.9876	12.432
SMED30001738	0.893622	0.482809	0.605244	0.396166	0.195501
SMED30001754	0.567019	0.449143	0.588247	0.47901	0.380285
SMED30001797	12.302	13.4778	12.668	13.4852	14.7726
SMED30001816	3.05898	3.08418	5.61607	6.3123	6.38648
SMED30002021	1.02877	0.83476	1.00798	1.15219	1.36808
SMED30002060	6.24165	5.17938	5.4994	3.98589	4.6955
