Original row	Sample	0h	6h	3d	7d	11d
48	SMED30001637	-0.77668405	1.0949761	-0.71539927	1.0949761	-0.69786876
63	SMED30002275	0.41379	1.2815752	-0.91626835	0.33270475	-1.1118015
100	SMED30003997	0.95131344	0.8390486	0.3124101	-0.8481931	-1.2545791
189	SMED30007090	1.1151818	0.45446858	0.31296033	-0.35830793	-1.5243028
312	SMED30011354	1.009898	0.7699761	0.32563457	-0.8730021	-1.2325065
372	SMED30013526	-0.09474162	1.4346346	0.29306808	-0.30968785	-1.3232732
408	SMED30014507	0.15234129	0.9405625	0.87820095	-0.5506555	-1.4204493
423	SMED30015109	1.0787861	0.8423525	-0.1554878	-0.36142108	-1.4042298
440	SMED30015649	0.9939377	0.9376731	-0.076545954	-0.47677457	-1.3782902
451	SMED30015908	0.75933623	1.1929989	0.043410324	-0.93965936	-1.0560862
453	SMED30015943	0.762314	1.1759958	0.064431466	-0.8867555	-1.1159858
479	SMED30016720	0.64107305	0.49384263	0.8875952	-0.5052691	-1.5172418
507	SMED30017557	1.0704957	0.8691562	0.016057098	-0.6729366	-1.2827723
599	SMED30020552	0.89792275	1.1607709	-0.17737782	-0.7903114	-1.0910045
643	SMED30022068	0.8821784	0.85723794	0.37286606	-0.8142667	-1.2980157
651	SMED30022367	1.0707946	0.55691993	0.2551611	-0.34750104	-1.5353745
655	SMED30022460	0.93865365	0.5963409	-0.05819738	0.17523569	-1.6520329
658	SMED30022603	-1.076045	1.2166883	0.41976285	0.43693304	-0.9973392
846	SMED30029489	0.61966443	1.1129652	0.32764223	-0.758461	-1.301811
888	SMED30031260	0.35338056	1.4233965	0.1065892	-0.762561	-1.1208051
1005	SMED30035150	0.79561764	1.2012504	-0.0797209	-0.7586888	-1.1584584
1120	SMED30000696	0.9241489	1.0726302	-0.29240972	-0.37392104	-1.3304484
1135	SMED30000804	0.25350082	0.9449511	-0.2779243	0.66709536	-1.587623
1170	SMED30001038	0.6450429	0.56159115	0.87047637	-0.6180721	-1.4590383
1213	SMED30001334	0.6745269	0.86881876	-0.2356773	0.31560516	-1.6232735
1221	SMED30001358	1.0332656	0.78830963	-0.16255538	-0.15559138	-1.5034285
1331	SMED30002138	1.154763	0.7959328	-0.23153862	-0.35875288	-1.3604043
1363	SMED30002358	0.37680346	1.4782282	-0.077727735	-0.6795895	-1.0977144
1456	SMED30002955	0.8300764	0.25500295	0.8197457	-0.33605862	-1.5687665
1471	SMED30003081	0.8695442	0.120265715	0.94961274	-0.4969616	-1.442461
1474	SMED30003100	0.18295133	1.3439716	-0.2936271	0.19376642	-1.4270623
1526	SMED30003444	0.47515747	1.3466944	0.0849835	-0.69321877	-1.2136166
1541	SMED30003513	0.32547477	1.3697267	0.26585606	-0.8701599	-1.0908976
1544	SMED30003523	0.6974632	0.41567641	0.78673893	-0.2728017	-1.6270769
1561	SMED30003637	-1.0222473	1.1938113	0.11661761	0.7146004	-1.002782
1600	SMED30003937	0.8047204	1.1043983	0.06974687	-0.69796175	-1.2809037
1603	SMED30003975	0.83206517	1.1281443	0.044050865	-0.8914778	-1.1127825
1739	SMED30004852	1.0226488	0.92608035	-0.106404535	-0.48061556	-1.361709
1761	SMED30004981	1.2844844	-0.42903003	0.70269984	-0.30036855	-1.2577857
1769	SMED30005023	1.3681989	0.38847214	0.061197314	-0.5082762	-1.3095921
1791	SMED30005149	1.0495168	0.82453454	0.1899558	-0.86996734	-1.1940398
1825	SMED30005356	0.34612283	1.0297635	0.7315974	-0.87512565	-1.2323581
1826	SMED30005359	0.37432835	0.2813303	1.1747773	-0.3129795	-1.5174564
1827	SMED30005367	0.96179855	0.6441389	0.5133459	-0.7850293	-1.334254
1840	SMED30005448	-0.07960996	1.4411114	0.4389461	-0.6728691	-1.1275786
1875	SMED30005627	0.86743826	1.0745083	0.043068826	-0.7465559	-1.2384596
1885	SMED30005667	0.0010976645	0.9076387	0.9023935	-0.3048234	-1.5063065
1893	SMED30005734	0.45035625	1.3951637	-0.5545176	-0.049739163	-1.241263
1918	SMED30005917	1.001892	0.980006	0.021897485	-0.8841627	-1.1196327
1953	SMED30006202	1.0148737	-0.21074976	1.0403517	-0.6555554	-1.1889203
1981	SMED30006353	0.11451753	0.64273834	1.0843974	-0.3283692	-1.5132842
1995	SMED30006444	0.61452734	0.3303274	-0.27618238	0.93322086	-1.6018933
2049	SMED30006796	0.27997473	0.49830928	0.14234336	0.8103678	-1.7309952
2087	SMED30007018	-0.25114292	0.6391879	0.7605046	0.49586916	-1.6444186
2179	SMED30007679	0.94462013	-0.15585355	1.1214306	-0.98126334	-0.92893386
2251	SMED30008244	-0.521402	1.0963601	-0.827677	1.0774515	-0.8247325
2256	SMED30008292	0.48194805	0.4030526	1.1588426	-0.7272091	-1.3166342
2262	SMED30008337	0.73227	1.2796545	-0.14262474	-0.76321137	-1.1060884
2269	SMED30008378	0.6246179	0.67045367	0.85031396	-0.8119524	-1.3334332
2279	SMED30008441	0.3805277	0.34286386	0.8389545	0.17101802	-1.7333641
2337	SMED30008902	0.6351962	1.1641182	0.26099518	-0.8707838	-1.1895258
2342	SMED30008950	1.0095565	1.1254112	-0.35529917	-0.84294116	-0.9367273
2348	SMED30008998	0.95868003	0.19842763	0.8797474	-0.7076106	-1.3292445
2349	SMED30009006	1.0067078	0.701768	0.3850104	-0.7688166	-1.3246695
2360	SMED30009071	0.37354732	1.5042802	-0.09747618	-0.93064934	-0.84970206
