p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30009873 0 1.57867246064885 0.178 0.015 0
SMED30026267 0 1.53356358053016 0.184 0.016 0
SMED30008091 0 1.1651517011943 0.329 0.062 0
SMED30008024 0 0.744013448023393 0.527 0.286 0
SMED30015808 0 0.459254224616205 0.918 0.878 0
SMED30014469 0 -0.539032131705324 0.409 0.672 0
SMED30027302 1.79452721306044e-304 -0.482753355298238 0.233 0.47 3.93324474558587e-300
SMED30013522 9.30559987107178e-300 0.287941302419025 0.157 0.016 2.03960137974151e-295
SMED30027500 3.31641968861357e-298 1.21453921044333 0.141 0.009 7.26892867350323e-294
SMED30002314 1.14661874131352e-266 0.489786820224156 0.299 0.109 2.51315895721097e-262
SMED30012579 2.02859347426636e-262 -0.413268286630756 0.305 0.508 4.44627117689701e-258
SMED30022157 8.9441344643901e-257 0.280343652445394 0.163 0.027 1.96037539190502e-252
SMED30000316 1.37966342462657e-226 0.537484984341371 0.384 0.202 3.02394629409652e-222
SMED30031751 4.65395562233097e-225 0.413044603609883 0.619 0.477 1.0200539933025e-220
SMED30007095 2.87009697159761e-222 0.373025176640049 0.89 0.839 6.29067854234763e-218
SMED30019092 2.97833440023589e-218 -0.329302327558926 0.189 0.376 6.52791333843703e-214
SMED30033630 1.69332770414845e-207 1.22646850794995 0.118 0.014 3.71143566195258e-203
SMED30014140 1.31435106976954e-203 0.294500819837579 0.94 0.912 2.88079467472088e-199
SMED30029256 4.34540773571831e-196 0.336825259270608 0.182 0.052 9.52426467514739e-192
SMED30033139 4.62461264067009e-193 -0.289473684456354 0.835 0.92 1.01362259858207e-188
SMED30007522 3.26913404277034e-192 0.588672142487166 0.166 0.043 7.16528799494402e-188
SMED30009662 2.97367707534625e-191 0.922179722312748 0.1 0.009 6.5177054137439e-187
SMED30030498 1.05843008083983e-189 -0.340326787748362 0.157 0.328 2.31986705118474e-185
SMED30027307 3.39060580851886e-187 -0.462499585814934 0.129 0.294 7.43152981111165e-183
SMED30027180 1.1520786775852e-186 0.212734906900993 0.105 0.012 2.52512604553125e-182
SMED30001563 1.21555175239366e-176 -0.293526636941481 0.487 0.648 2.66424633089642e-172
SMED30016871 1.0880401992842e-174 0.24231349907696 0.091 0.008 2.38476650879111e-170
SMED30030540 3.95750376485261e-165 0.673371625985474 0.132 0.03 8.67405675180396e-161
