p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30022157 0 0.439406381568225 0.33 0.051 0
SMED30012579 1.02785400228301e-290 -0.49111201630439 0.288 0.558 2.2528504022039e-286
SMED30027385 9.39605526946613e-249 -0.30974218260402 0.999 1 2.05942739396159e-244
SMED30015808 1.44760751488134e-219 0.481677773110602 0.918 0.859 3.17286615111691e-215
SMED30019092 1.01417325482655e-217 -0.399783461665622 0.339 0.579 2.22286493992883e-213
SMED30007095 2.6037662680059e-178 0.420029678477183 0.901 0.826 5.70693490621533e-174
SMED30006394 1.04505945602045e-177 0.22516461469081 0.2 0.037 2.29056131570562e-173
SMED30013522 6.58137459516811e-175 0.177532615706205 0.133 0.005 1.44250568376895e-170
SMED30027180 4.0485151856726e-172 0.220683289842719 0.144 0.01 8.87353558395721e-168
SMED30034174 6.81423452555127e-161 0.157322320954443 0.124 0.005 1.49354392331033e-156
SMED30002314 9.97008447386956e-160 0.421141184427344 0.357 0.15 2.18524311498273e-155
SMED30001563 4.11842878121192e-153 -0.323501088608824 0.611 0.739 9.02677220266027e-149
SMED30001215 6.77954743171623e-150 0.206257004057641 0.169 0.031 1.48594120608356e-145
SMED30014511 8.20737035546716e-147 0.303353217425479 0.378 0.184 1.79889143451129e-142
SMED30012412 6.22649816132895e-146 0.272483807935654 0.361 0.166 1.36472386700008e-141
SMED30031751 8.62928486881319e-143 0.346252495434654 0.718 0.6 1.89136665754647e-138
SMED30020470 3.28532360882983e-131 -0.29899457257344 0.64 0.748 7.20077228583322e-127
SMED30015300 4.09042649856727e-118 0.281567519649271 0.83 0.739 8.96539679955974e-114
SMED30014140 9.76008348680954e-114 0.277170485375984 0.929 0.891 2.13921509863891e-109
SMED30003997 2.1030899102138e-106 -0.27638294718854 0.606 0.724 4.60955246520661e-102
SMED30023331 1.01734189511033e-103 0.308684482487051 0.88 0.832 2.22980996570282e-99
SMED30035617 1.37581201668612e-101 0.36378056863418 0.845 0.786 3.01550477817263e-97
SMED30014939 5.37515395567476e-97 0.190931268800868 0.238 0.102 1.17812624400479e-92
SMED30008485 1.55385024439941e-93 0.304858302939057 0.508 0.374 3.40572896567463e-89
SMED30001192 2.83073424233667e-92 0.252244694634014 0.643 0.507 6.20440331235351e-88
SMED30000559 3.38520734792763e-91 0.325513710153793 0.735 0.615 7.41969746518778e-87
SMED30008675 1.08883124819742e-90 0.189736010167968 0.311 0.16 2.3865003297991e-86
SMED30019874 2.92713537656244e-88 -0.312873021190018 0.53 0.672 6.41569531834955e-84
SMED30019910 1.28986922114145e-87 0.285284022950026 0.597 0.485 2.82713535889784e-83
SMED30002257 7.90060450974589e-87 0.254467558854538 0.507 0.353 1.7316544964461e-82
SMED30024329 2.91541725584749e-82 0.183571352280691 0.259 0.128 6.39001154136654e-78
SMED30005965 2.22630806297749e-81 0.334359827940995 0.468 0.317 4.87962201243407e-77
SMED30008091 7.18605803349033e-78 0.517176984228946 0.267 0.141 1.57504019978041e-73
SMED30016244 1.52157712266726e-77 0.777740982825985 0.079 0.01 3.33499273746209e-73
SMED30004009 4.01820598968149e-77 0.247738501574876 0.635 0.516 8.8071038881839e-73
SMED30001819 5.75991078675252e-77 0.0965231882717723 0.081 0.011 1.26245724624042e-72
SMED30013135 5.16726289355689e-76 0.235500133857277 0.468 0.32 1.1325606810098e-71
SMED30012282 3.39989568361367e-75 0.285428007383351 0.461 0.326 7.45189135934445e-71
SMED30019754 1.35491106570872e-74 -0.230424781370847 0.342 0.493 2.96969407382038e-70
SMED30007950 1.40574647874062e-72 0.207802568974678 0.402 0.264 3.08111513210369e-68
SMED30018505 4.76809472481102e-71 -0.158535069551358 0.124 0.246 1.04507100178408e-66
SMED30007096 7.77380476781717e-71 -0.181422206992309 0.234 0.373 1.70386252901017e-66
SMED30019975 1.50723709875917e-70 0.21828083542305 0.556 0.434 3.30356227306034e-66
