p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30006920 5.93505955510225e-270 0.77103817977729 0.257 0.01 1.30084635328731e-265
SMED30034127 6.33566844323738e-202 0.629510880632028 0.201 0.009 1.38865180938877e-197
SMED30026335 2.02705751632131e-198 0.528521223615061 0.191 0.006 4.44290466427304e-194
SMED30002314 8.34546554487161e-161 0.697558697913647 0.299 0.087 1.82915913812496e-156
SMED30008091 3.3310053575167e-149 0.891594754836294 0.296 0.091 7.3008975426051e-145
SMED30020539 7.40470536194116e-139 0.648744848831937 0.179 0.024 1.62296332123026e-134
SMED30008024 3.51083220556615e-129 0.684168082926622 0.459 0.241 7.6950420281599e-125
SMED30026267 1.54735586538475e-111 1.29918211072754 0.14 0.016 3.39149458575029e-107
SMED30000316 3.11635717604241e-110 0.567278532807197 0.333 0.146 6.83043165844975e-106
SMED30015808 1.44402837862646e-105 0.473091398886018 0.815 0.731 3.16502140027348e-101
SMED30027302 7.65479178131085e-95 -0.331780367878289 0.493 0.71 1.67777726262771e-90
SMED30022157 2.19595969152097e-94 0.244466265958396 0.116 0.012 4.81310445187567e-90
SMED30027307 1.4432132735804e-92 -0.482835488736459 0.145 0.318 3.16323485303352e-88
SMED30005965 8.4993906929815e-87 0.471053925648301 0.332 0.165 1.86289645208769e-82
SMED30013522 2.14430265593347e-83 0.229958257955069 0.098 0.008 4.69988256127498e-79
SMED30009873 4.87848937831651e-80 1.03883946907924 0.105 0.013 1.06926730193941e-75
SMED30014462 5.6453275841163e-80 0.343009366787395 0.208 0.073 1.23734289988661e-75
SMED30012579 5.58989847021799e-75 -0.335433908298514 0.182 0.346 1.22519394670238e-70
SMED30019092 3.98300268537319e-73 -0.316445494484074 0.165 0.324 8.72994528580096e-69
SMED30031751 3.92952600596737e-69 0.366310205990186 0.476 0.323 8.61273509987928e-65
SMED30025793 4.20243877379818e-66 0.402197626827575 0.421 0.271 9.21090530441085e-62
SMED30007095 1.59270898519932e-64 0.346630308158571 0.786 0.707 3.49089955375986e-60
SMED30027180 1.77184026269947e-64 0.162188397133992 0.08 0.008 3.88351948778469e-60
SMED30032833 1.86152400538876e-63 -0.315189503296774 0.678 0.792 4.08008831501108e-59
SMED30012412 3.69390139053273e-63 0.281513418511597 0.223 0.098 8.09629306776963e-59
SMED30035617 1.06491127290556e-60 0.365378273312603 0.707 0.61 2.33407252795441e-56
SMED30014140 1.49284900116426e-59 0.274779534243221 0.86 0.818 3.27202644075182e-55
SMED30003530 2.09349791860034e-58 0.188101860446 0.088 0.014 4.58852873798822e-54
SMED30027500 1.82045526188882e-57 0.581108135191319 0.064 0.004 3.99007384300792e-53
SMED30029256 3.13077448458169e-56 0.294193152821379 0.209 0.094 6.86203151530614e-52
SMED30034174 1.75825779371235e-53 0.129581118114179 0.059 0.004 3.85374943225872e-49
SMED30020470 5.74353994990838e-52 -0.268559574353442 0.553 0.661 1.25886908622092e-47
SMED30025868 1.20359164074629e-50 0.333801485112068 0.311 0.186 2.63803215818771e-46
SMED30000745 9.64786985097382e-50 0.149030201384201 0.064 0.007 2.11462011393644e-45
SMED30033630 6.54934796629697e-47 0.659839150495307 0.066 0.009 1.43548608725297e-42
SMED30006394 1.2247842012843e-44 0.14428211434001 0.078 0.017 2.68448201237492e-40
SMED30031065 5.8296368451486e-44 -0.237837425687561 0.46 0.595 1.27773980371967e-39
SMED30001563 1.27361305250453e-43 -0.246382159309859 0.454 0.576 2.79150508847943e-39
SMED30009325 4.79598868508047e-43 0.18874329488014 0.101 0.03 1.05118479999594e-38
SMED30019910 5.88603927450263e-43 0.280258241615538 0.357 0.239 1.29010208818549e-38
