p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30021776 0 0.831656432949402 0.579 0.346 0
SMED30021461 0 0.675572398148537 0.811 0.814 0
SMED30008091 0 0.522677295992121 0.215 0.049 0
SMED30002314 0 0.459772018734474 0.268 0.065 0
SMED30019910 0 0.448898752689831 0.734 0.582 0
SMED30031751 0 0.431639536627092 0.798 0.659 0
SMED30022157 0 0.411308814235014 0.343 0.071 0
SMED30015808 0 0.365055448589246 0.95 0.896 0
SMED30008485 0 0.352961037129595 0.584 0.424 0
SMED30008048 0 0.300280427142683 0.965 0.938 0
SMED30017530 0 0.28635533028461 0.344 0.131 0
SMED30012412 0 0.258502187150088 0.381 0.187 0
SMED30013522 0 0.234509228996634 0.182 0.009 0
SMED30006394 0 0.223977026167313 0.216 0.045 0
SMED30027180 0 0.195194792758916 0.142 0.015 0
SMED30031835 0 0.193548708066322 0.243 0.081 0
SMED30034174 0 0.178069164474493 0.135 0.003 0
SMED30000129 0 0.16425521582185 0.125 0.009 0
SMED30027552 0 0.146334825184001 0.107 0.006 0
SMED30003997 0 -0.308748296599769 0.623 0.749 0
SMED30001563 0 -0.383130295207915 0.649 0.802 0
SMED30014469 0 -0.391165435945088 0.491 0.669 0
SMED30020470 0 -0.3976379020142 0.623 0.772 0
SMED30019092 0 -0.403330292313061 0.264 0.517 0
SMED30012579 0 -0.603798343182353 0.415 0.719 0
SMED30001192 1.18969469808662e-307 0.296297856415867 0.634 0.455 2.60757283926625e-303
SMED30017135 4.22241040426803e-306 -0.293392267767456 0.741 0.804 9.25467912407467e-302
SMED30007096 1.2928301695271e-271 -0.272852259283614 0.298 0.475 2.83362516556949e-267
SMED30031065 6.42970809121101e-271 -0.274295473774294 0.383 0.561 1.40926341943163e-266
SMED30014511 1.95115329940393e-267 0.211897718977993 0.297 0.135 4.27653780163353e-263
SMED30016871 5.17084148258226e-260 -0.0376426820482295 0.112 0.016 1.13334503615238e-255
SMED30012282 3.32548383947967e-259 0.228248832746456 0.373 0.202 7.28879547937155e-255
SMED30019874 1.28923035452769e-250 -0.311445287996463 0.621 0.733 2.82573509105379e-246
SMED30027307 2.48452808392678e-247 -0.341534766461713 0.194 0.354 5.44558865435071e-243
SMED30001215 1.36728681414417e-245 0.176862096486924 0.178 0.056 2.99681923924118e-241
SMED30003586 3.37658213962659e-239 -0.323203126961699 0.512 0.623 7.40079273363355e-235
SMED30033251 6.08826656084487e-229 -0.254797601952728 0.272 0.433 1.33442626480598e-224
SMED30018158 2.73309834158341e-227 0.107904546435818 0.096 0.013 5.99040494508253e-223
SMED30024329 3.75086215283512e-227 0.206932018473317 0.317 0.163 8.22113966658402e-223
SMED30005965 4.05244927612036e-224 0.373863338218887 0.515 0.355 8.88215832340061e-220
SMED30008675 1.61646943853613e-223 0.213781926891483 0.312 0.158 3.5429777153835e-219
SMED30007095 7.24986411660201e-223 0.275199536093399 0.923 0.878 1.58902521707683e-218
SMED30002257 1.42566594489846e-222 0.248745259360814 0.536 0.373 3.12477461802845e-218
SMED30029899 3.6155649625786e-222 -0.137794145827651 0.997 0.997 7.92459528497977e-218
SMED30028576 2.17112095932591e-219 -0.253805479723367 0.575 0.712 4.75866291865053e-215
SMED30014939 2.07564864980236e-218 0.169547339665634 0.216 0.087 4.54940671063681e-214
SMED30024756 3.85300930442775e-218 0.267049850987686 0.582 0.412 8.44502579344475e-214
SMED30035617 2.05811880298202e-217 0.297740080130874 0.889 0.826 4.510984792376e-213
SMED30018505 6.04563281438398e-216 -0.202771308369638 0.168 0.319 1.32508180025668e-211
SMED30025868 3.21188895073601e-214 0.361423755864998 0.539 0.388 7.03981820222318e-210
SMED30014794 1.10561958560232e-210 -0.227486132339227 0.258 0.411 2.42329700772316e-206
SMED30026225 1.23721044309144e-210 -0.103841084552373 0.997 0.998 2.71171784916781e-206
SMED30004009 7.75234204201916e-210 0.24803329531622 0.696 0.574 1.69915832876976e-205
SMED30019975 1.09400038387287e-207 0.251776042699581 0.54 0.397 2.39783004137256e-203
SMED30026267 3.87993104366635e-207 0.32152850045867 0.088 0.012 8.5040328615079e-203
SMED30020813 6.47626181673747e-202 -0.206775687173395 0.231 0.377 1.41946706499252e-197
SMED30011202 1.11852867700421e-201 0.193916523947319 0.357 0.206 2.45159115425782e-197
SMED30019754 2.52283021122451e-197 -0.252877221260906 0.337 0.483 5.52953925696188e-193
SMED30008172 1.0356259713682e-195 -0.232057752682468 0.306 0.453 2.26988500404483e-191
SMED30009181 2.10445281819745e-187 0.20932165906962 0.458 0.306 4.61253968692517e-183
SMED30017175 4.07064910419811e-186 0.232390769126029 0.376 0.23 8.92204870658141e-182
SMED30007950 6.31228356314732e-183 0.213823644871659 0.41 0.261 1.38352631137063e-178
SMED30022837 1.09601507650525e-182 0.0979228150101202 0.1 0.022 2.40224584468422e-178
SMED30006356 2.72254838196628e-182 0.167782893385161 0.309 0.172 5.9672815435937e-178
SMED30029571 1.19842367145494e-181 -0.18007519188085 0.148 0.278 2.62670500309493e-177
SMED30002501 3.96610021972831e-180 0.0764221833971654 0.069 0.007 8.69289846160051e-176
SMED30014140 1.10788792951138e-177 0.211258939415247 0.961 0.938 2.42826876390305e-173
SMED30025115 1.33967612980584e-177 0.079108675695792 0.064 0.005 2.93630214130843e-173
SMED30009873 6.57295618528781e-177 0.328159782749319 0.086 0.016 1.44066053669138e-172
SMED30001234 1.32191421958869e-176 0.194234630200589 0.429 0.286 2.89737158649448e-172
SMED30001801 1.33448962689494e-176 -0.25048165926629 0.569 0.645 2.92493436422833e-172
SMED30014114 3.72688761508217e-176 0.122199169374921 0.147 0.051 8.16859227473711e-172
SMED30005171 3.79294468349318e-174 -0.105465105217592 0.998 0.998 8.31337615728036e-170
SMED30014530 1.15769263951181e-172 -0.226390806279095 0.44 0.581 2.53743072728198e-168
SMED30015942 3.80083303674414e-172 0.184253484774725 0.892 0.854 8.33066584993581e-168
SMED30005644 5.06034469556783e-170 0.150773124528374 0.134 0.044 1.10912635037456e-165
SMED30031921 9.7998807263024e-170 0.195784446674476 0.416 0.269 2.14793785759096e-165
SMED30023808 9.93591439851139e-170 0.187532471255706 0.36 0.218 2.17775371786573e-165
SMED30035193 6.43585728577535e-168 -0.201687663145794 0.993 0.996 1.41061119989624e-163
SMED30035950 3.27046666837772e-167 0.0931804701745959 0.097 0.022 7.16820884375029e-163
SMED30016212 2.87382214246504e-164 0.0834796182637342 0.081 0.014 6.29884337185487e-160
SMED30005922 1.45155894619027e-163 0.0708328593377938 0.067 0.008 3.18152689825984e-159
SMED30008695 2.38910847523356e-163 0.243043383164187 0.799 0.701 5.23644795601691e-159
SMED30033466 1.08599800635272e-161 0.250253832927998 0.331 0.204 2.3802904303239e-157
SMED30035662 6.28443756850226e-161 0.153940065074339 0.289 0.162 1.37742302626433e-156
SMED30027302 9.4107059638774e-160 -0.224330830649925 0.492 0.638 2.06263853316265e-155
SMED30024529 6.93806538382684e-159 0.201475417094394 0.435 0.294 1.52068517082717e-154
SMED30025935 1.35516139030078e-157 0.0551150243442395 0.052 0.003 2.97024273526125e-153
SMED30034967 1.59924232118337e-152 0.170939642304683 0.902 0.883 3.50521931956971e-148
SMED30035575 2.25913262159455e-152 0.0944472548246792 0.113 0.035 4.95156688001094e-148
SMED30024698 2.44381620757825e-152 0.196157041472586 0.534 0.39 5.35635636377e-148
SMED30030842 1.22808988652463e-151 -0.184984877113235 0.124 0.237 2.69172741328468e-147
SMED30027121 1.07309762780518e-150 0.16541694991354 0.24 0.125 2.35201538062339e-146
SMED30012923 6.49277092160137e-150 0.114014152810134 0.144 0.055 1.42308553059659e-145
SMED30011862 2.58543229607119e-148 0.331085762082254 0.213 0.108 5.66675050652884e-144
SMED30000745 2.26705043337051e-147 0.116517632962018 0.106 0.032 4.96892113986149e-143
SMED30011723 2.50686348603899e-147 -0.129109950113142 0.081 0.178 5.49454338870026e-143
SMED30010468 2.74344994642713e-147 0.181529428036324 0.114 0.037 6.01309359257899e-143
SMED30027991 1.13683175682622e-146 -0.202341690318725 0.656 0.723 2.49170784461171e-142
SMED30004532 7.31117803184926e-146 -0.139357696159506 0.929 0.948 1.60246400102072e-141
SMED30023331 3.76557320589597e-143 0.203463341144983 0.932 0.905 8.25338335268278e-139
SMED30026858 3.6991292077376e-142 -0.165822242062688 0.162 0.275 8.10775139751927e-138
SMED30023806 5.06601364056186e-141 0.0762894514405729 0.091 0.023 1.11036886973835e-136
SMED30009104 2.54991653774712e-139 0.0520708370981034 0.046 0.002 5.58890706743413e-135
SMED30009695 4.96867919535053e-138 0.182928129376811 0.393 0.265 1.08903510603693e-133
SMED30006112 1.84953212851192e-136 0.082203781535619 0.111 0.036 4.05380451927242e-132
SMED30021696 2.11455029500008e-135 0.151155863792713 0.322 0.199 4.63467133658117e-131
SMED30014462 6.75757814239147e-134 0.205974157692804 0.232 0.126 1.48112597724936e-129
SMED30013552 1.22978962682572e-133 0.157629026467708 0.802 0.727 2.69545290407662e-129
SMED30014118 2.6929317301984e-132 0.225407967844937 0.425 0.299 5.90236776624886e-128
SMED30014296 4.04232199288501e-132 0.060355328839159 0.063 0.011 8.85996134400537e-128
SMED30002694 1.55777935180869e-129 0.0466396113771404 0.039 0.001 3.41434078329428e-125
SMED30002262 7.66180213521118e-129 0.288752776789404 0.983 0.977 1.67931379199559e-124
SMED30027500 1.13049562828487e-128 0.225624620709267 0.051 0.006 2.47782031807477e-124
SMED30007869 1.16386132951385e-128 0.154186630649288 0.134 0.055 2.55095126202845e-124
SMED30011393 3.42988349116906e-128 -0.192993567641969 0.316 0.432 7.51761863594434e-124
SMED30030498 2.09457718939229e-125 -0.302631442023835 0.219 0.333 4.59089428371003e-121
SMED30013692 5.42637123732551e-125 0.31703680877551 0.93 0.905 1.18935204779701e-120
SMED30027385 5.88417910894885e-123 -0.127969479216062 1 1 1.28969437709941e-118
SMED30029971 1.35653000306792e-122 0.133436495235368 0.268 0.157 2.97324246072427e-118
SMED30017411 3.5042167320229e-121 0.0452370693914577 0.037 0.001 7.68054223324779e-117
SMED30002918 3.37380619408894e-120 0.151702654161215 0.096 0.031 7.39470841620413e-116
SMED30010969 8.26815504647308e-120 -0.17596535800613 0.83 0.866 1.81221422308597e-115
SMED30023243 2.58882134790988e-119 -0.179403299595219 0.607 0.677 5.67417863034887e-115
SMED30014484 2.5946468132759e-119 0.0491317510816003 0.039 0.002 5.68694688533811e-115
SMED30033139 8.98893799661224e-118 -0.144626412721296 0.919 0.949 1.97019543009747e-113
SMED30007486 7.94348251313535e-117 -0.120694684520848 0.11 0.205 1.74105249722901e-112
SMED30019742 9.04766492656363e-117 0.197387222100585 0.584 0.47 1.98306719860422e-112
SMED30014862 3.21157027743084e-115 0.103852805254021 0.226 0.127 7.03911973407291e-111
SMED30035746 1.15557015946947e-114 -0.175965566768109 0.313 0.415 2.53277867552518e-110
SMED30013135 1.83351374642696e-114 0.186049187789502 0.565 0.449 4.01869542941861e-110
SMED30004679 4.83096194776714e-114 0.196662717225489 0.66 0.579 1.0588502397116e-109
SMED30003542 9.06370730551841e-114 0.0632447091625891 0.094 0.032 1.98658336722353e-109
SMED30029179 8.65968466454941e-111 0.231590641309703 0.719 0.637 1.89802968477594e-106
SMED30020383 1.13013578469761e-109 0.144887219535932 0.343 0.228 2.47703161290021e-105
SMED30017717 2.23092625697329e-109 -0.173497596418129 0.421 0.524 4.88974417003406e-105
SMED30026819 3.80001484020815e-109 0.0670538549415436 0.078 0.023 8.32887252676822e-105
SMED30022969 4.03895057741928e-108 0.0992808692393206 0.108 0.042 8.85257187558759e-104
SMED30026182 6.68124047389485e-107 -0.167152924588298 0.163 0.26 1.46439428706827e-102
SMED30018993 9.38284235114311e-107 -0.146389578366813 0.222 0.325 2.05653138652355e-102
SMED30017989 4.59877591202087e-105 -0.106766977615471 0.081 0.162 1.00795970439673e-100
SMED30034651 3.07327842636284e-104 0.121371029540398 0.259 0.16 6.73601165490208e-100
SMED30025055 4.46019978874993e-104 0.136815076616975 0.31 0.2 9.7758658969821e-100
SMED30011690 1.68418488657208e-103 -0.133316417357543 0.853 0.889 3.69139643438869e-99
SMED30024809 5.26079973515972e-103 -0.150019369440277 0.214 0.318 1.15306208595231e-98
SMED30024095 2.02628178732138e-102 -0.131930228790836 0.168 0.266 4.44120442145101e-98
SMED30023862 2.9879523733854e-102 -0.169367524091723 0.47 0.556 6.54899401198612e-98
SMED30032757 3.56647660743786e-102 0.14774805552199 0.258 0.158 7.8170034281823e-98
SMED30029256 1.60181432932275e-101 0.140042101955989 0.146 0.071 3.5108566470096e-97
SMED30012836 4.12652811638491e-100 0.203465563611642 0.53 0.428 9.04452432549244e-96
SMED30014853 5.53013381030533e-100 -0.163829073412092 0.344 0.443 1.21209472854272e-95
SMED30008024 7.31642370590959e-100 0.320299435874909 0.441 0.346 1.60361374786126e-95
SMED30032456 4.28206680241475e-99 -0.188181878651793 0.464 0.543 9.38543401753265e-95
SMED30025971 8.44586277610349e-99 0.0453982314561274 0.037 0.003 1.85116420326636e-94
SMED30022325 8.69189605857224e-99 0.1095213070571 0.978 0.974 1.90508977811786e-94
SMED30031729 3.19687837061565e-98 0.0357578659496716 0.03 0.001 7.00691801271538e-94
SMED30020914 4.93590493568499e-98 -0.163272713971843 0.67 0.722 1.08185164380344e-93
SMED30001819 1.57584528875221e-97 0.0728036392339434 0.075 0.024 3.4539377038871e-93
SMED30019298 3.77816664918616e-97 -0.13881641384963 0.828 0.858 8.28098566168622e-93
