p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30009873 0 1.98438632141062 0.234 0.025 0
SMED30026267 0 1.88905201953092 0.203 0.02 0
SMED30008091 0 1.50541257121504 0.354 0.081 0
SMED30027500 1.73613079026628e-304 1.66572182926508 0.176 0.013 3.80525146610564e-300
SMED30033630 1.23730758392421e-265 1.66513422966348 0.153 0.011 2.71193076244508e-261
SMED30008024 9.33129920148136e-227 0.649978581697266 0.544 0.336 2.04523415898068e-222
SMED30019874 2.96926601215622e-219 -0.414856186423279 0.639 0.813 6.50803724544401e-215
SMED30017762 1.43195511380477e-184 0.616939099586091 0.122 0.013 3.13855921843731e-180
SMED30027307 2.4804515374569e-181 -0.469936133709947 0.13 0.312 5.43665367979803e-177
SMED30002314 1.55780867368481e-180 0.538151797876251 0.193 0.054 3.41440505098238e-176
SMED30022157 4.08479490885053e-172 0.304251405471034 0.101 0.007 8.95305348121859e-168
SMED30000316 5.87651912029605e-165 0.535638450424018 0.362 0.19 1.28801546078649e-160
SMED30015808 1.24265485979292e-162 0.439454336745219 0.836 0.778 2.72365092169413e-158
SMED30013522 1.93353976251107e-162 0.294119373338906 0.1 0.008 4.23793245147177e-158
SMED30012579 2.97402412718402e-153 -0.396474352680242 0.159 0.333 6.51846608196193e-149
SMED30012973 3.18535401846424e-150 0.820708151583672 0.088 0.006 6.98165893766993e-146
SMED30027302 1.9571315681506e-137 -0.439224949089097 0.214 0.389 4.28964097107248e-133
SMED30022905 1.69272329420626e-133 -0.370691852873735 0.448 0.617 3.71011091624129e-129
SMED30003962 2.51477620545765e-130 0.530073472385548 0.141 0.038 5.51188648712209e-126
SMED30027180 1.02043986503122e-127 0.243104615740124 0.08 0.007 2.23660009617544e-123
SMED30027672 4.23107490952088e-126 0.476978404703455 0.518 0.372 9.27366998668787e-122
SMED30019092 1.08390881855764e-125 -0.337542539340547 0.127 0.275 2.37571134851464e-121
SMED30018020 1.35017312833631e-123 0.221801160281608 0.06 0 2.95930946268752e-119
SMED30007095 1.78308532274046e-118 0.345272025234309 0.819 0.75 3.90816641038254e-114
SMED30025793 1.06624499154757e-111 0.412712535381169 0.447 0.3 2.33699577247396e-107
SMED30031751 5.89404035154459e-110 0.366500852398802 0.483 0.344 1.29185576425154e-105
SMED30034174 5.62837257905918e-98 0.166545098968471 0.051 0.001 1.23362670187819e-93
SMED30002753 1.91427941506845e-94 1.06851934510376 0.382 0.256 4.19571762194702e-90
SMED30035617 2.00777821908167e-94 0.371530017026618 0.71 0.626 4.4006483005832e-90
SMED30002503 9.60251854536529e-94 0.439013262211205 0.208 0.099 2.10468001477316e-89
SMED30006792 8.63886799959827e-93 0.370277939259899 0.261 0.143 1.89346708815195e-88
SMED30029256 2.68541637558355e-87 0.290775243778786 0.16 0.066 5.88589561200401e-83
SMED30014140 1.16514902006404e-86 0.221965649453927 0.925 0.894 2.55377362217636e-82
SMED30010468 1.55149546184757e-86 0.449928685878053 0.272 0.153 3.4005677532775e-82
SMED30018515 3.99557099093557e-85 0.513338450736909 0.155 0.064 8.75749249793258e-81
SMED30033139 6.22157478111862e-85 -0.256226049654413 0.741 0.821 1.36364476052558e-80
SMED30016871 3.8217708932501e-84 0.23916316671866 0.066 0.01 8.37655744382558e-80
SMED30006394 1.22806003252979e-83 0.191313501253438 0.076 0.015 2.69166197929879e-79
SMED30000745 1.41335413465132e-83 0.175926460364223 0.059 0.007 3.09778959232875e-79
SMED30002344 4.91167275144098e-80 -0.253493438325603 0.489 0.621 1.07654043366083e-75
SMED30012412 6.60207073848028e-80 0.284185360319313 0.191 0.093 1.44704186446011e-75
SMED30014462 3.80463362609591e-77 0.341797659106449 0.271 0.16 8.33899598167701e-73
SMED30009549 1.15743238217011e-76 0.268974961406637 0.118 0.042 2.53686029524044e-72
