p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30015808 3.74626947767437e-144 0.59588228648581 0.881 0.796 8.21107344116668e-140
SMED30022157 2.47030785645019e-137 0.352171508689567 0.165 0.006 5.41442075976753e-133
SMED30007095 4.65982251791288e-128 0.542409846589228 0.853 0.733 1.02133989947615e-123
SMED30027180 1.92154942549174e-123 0.359527680369255 0.146 0.004 4.2116520307928e-119
SMED30008091 7.26503393794726e-104 0.86418369008463 0.26 0.08 1.59235013851928e-99
SMED30012579 1.01700296654721e-101 -0.398694400981401 0.176 0.383 2.22906710207817e-97
SMED30026267 5.54916460347777e-97 1.1698360598207 0.179 0.033 1.21626589779026e-92
SMED30014140 6.19727911124909e-95 0.391239198705044 0.876 0.79 1.35831963560357e-90
SMED30013522 9.3489367486026e-95 0.214061021479849 0.112 0.003 2.04909995655872e-90
SMED30035617 2.93891336850564e-92 0.485574990819707 0.8 0.688 6.44151032109066e-88
SMED30014511 1.62126721726616e-81 0.380846955858365 0.35 0.17 3.55349348680397e-77
SMED30035485 2.60166120464219e-81 1.02332230438614 0.257 0.098 5.70232102833476e-77
SMED30009873 4.07775776869682e-69 1.22137377714223 0.128 0.023 8.93762947742969e-65
SMED30002344 8.5924861867783e-69 -0.399603595580947 0.752 0.845 1.88330112241807e-64
SMED30031751 2.13376083089093e-64 0.34417335934247 0.522 0.364 4.67677698914674e-60
SMED30027500 2.27444631465403e-64 1.05384600575284 0.119 0.021 4.9851314324587e-60
SMED30019092 2.95137112781514e-64 -0.305948204412631 0.316 0.495 6.46881523794523e-60
SMED30006394 4.77603247100014e-61 0.189325677604549 0.119 0.023 1.04681079699381e-56
SMED30000745 1.76437422334668e-59 0.18779767719127 0.081 0.006 3.86715542273126e-55
SMED30027302 5.87959848776245e-57 -0.303132274881902 0.657 0.808 1.28869039654777e-52
SMED30034045 5.89309277582417e-56 0.327764718937793 0.502 0.347 1.29164807460514e-51
SMED30007999 2.5457457200095e-55 0.167284650087532 0.062 0 5.57976546911683e-51
SMED30009120 1.0299122171358e-54 -0.291176986323154 0.289 0.462 2.25736159751825e-50
SMED30001215 2.3302041119804e-54 0.161375933777226 0.083 0.009 5.10734137263863e-50
SMED30033139 7.59303650760145e-53 -0.227624728813786 0.924 0.958 1.66424174173609e-48
SMED30034174 2.09905777898893e-51 0.130609765392648 0.062 0.002 4.60071483998794e-47
SMED30017762 3.91028197206395e-51 0.685836080893848 0.105 0.021 8.57055602636976e-47
SMED30012962 1.1271132188001e-50 -0.318578025682489 0.21 0.357 2.47040675296606e-46
SMED30008024 1.25578969949512e-48 0.3633997655326 0.472 0.325 2.75243986335341e-44
SMED30001192 2.31517833030704e-48 0.27983867603308 0.558 0.415 5.07440786436696e-44
SMED30012684 2.76669065875912e-48 1.29910877204917 0.075 0.009 6.06403258586825e-44
