p_val avg_logFC pct.1 pct.2 p_val_adj
SMED30002314 5.0355543087065e-140 0.79363330421032 0.336 0.07 1.10369279338229e-135
SMED30008091 2.06911943492662e-124 0.894633921495152 0.363 0.102 4.53509597747216e-120
SMED30027302 2.1910532943573e-108 -0.476313336184132 0.371 0.653 4.80235061057233e-104
SMED30015808 1.05587020319017e-102 0.549988937065068 0.909 0.846 2.31425631135221e-98
SMED30019092 1.95882169316341e-93 -0.419140472966163 0.258 0.505 4.29334538707557e-89
SMED30022157 2.61315262095787e-93 0.331893460245074 0.185 0.017 5.72750791461547e-89
SMED30012579 5.75148264698401e-89 -0.414298575977065 0.196 0.431 1.26060996656596e-84
SMED30031751 1.04147193835808e-88 0.458370044837232 0.653 0.445 2.28269819449324e-84
SMED30005965 2.22627731024138e-83 0.584086900474491 0.494 0.278 4.87955460858706e-79
SMED30025868 1.08279814981236e-75 0.519077645841542 0.474 0.264 2.37327698475873e-71
SMED30014140 3.36776689205354e-71 0.346208285314849 0.922 0.875 7.38147147400294e-67
SMED30026267 6.25516933771289e-71 1.29330377601634 0.189 0.037 1.37100801543991e-66
SMED30012412 1.29935480770267e-68 0.342489513781953 0.332 0.14 2.84792586752271e-64
SMED30007095 4.69611124807831e-68 0.414731265212916 0.879 0.815 1.0292936633538e-63
SMED30033630 7.8220236828376e-65 1.01625942373095 0.305 0.121 1.71443115080435e-60
SMED30013522 5.67236498197947e-60 0.262120680465769 0.201 0.055 1.24326895675026e-55
SMED30027180 1.40706385634897e-52 0.182904806217178 0.115 0.013 3.08400256034566e-48
SMED30027500 1.83036050690003e-52 1.04734011919919 0.128 0.019 4.01178415902348e-48
SMED30001563 7.19509280746372e-52 -0.316392481683436 0.526 0.679 1.5770204415399e-47
SMED30014462 7.0819440355814e-51 0.313697242548758 0.279 0.121 1.55222049371873e-46
SMED30016871 3.97395132859936e-50 0.184682726935578 0.096 0.006 8.71010652202408e-46
SMED30035617 4.28779688340396e-48 0.412570679898226 0.823 0.751 9.39799320904479e-44
SMED30003997 4.95501161734204e-48 -0.30076857282703 0.582 0.713 1.08603944628903e-43
SMED30028778 8.10624988432019e-48 0.168144008184546 0.081 0.002 1.7767278496453e-43
SMED30002344 3.11757455647052e-47 -0.288899962897923 0.668 0.781 6.83309991287208e-43
SMED30000559 1.02246645865417e-45 0.36102373611296 0.697 0.572 2.24104198407822e-41
SMED30001215 1.07446047708618e-45 0.202421972413794 0.123 0.023 2.35500247367749e-41
SMED30008024 1.91671310244771e-45 0.424788537793248 0.413 0.246 4.20105177794488e-41
SMED30006394 1.05295268188102e-44 0.196897822599843 0.149 0.038 2.30786168814682e-40
SMED30027552 3.81938283008021e-44 0.148762587583269 0.083 0.005 8.37132328696981e-40
SMED30029415 3.82170707889843e-44 0.297063840396081 0.477 0.316 8.37641757552958e-40
SMED30018465 1.94991425356874e-42 -0.281764863702332 0.353 0.515 4.27382206097196e-38
SMED30012282 3.31305633314124e-42 0.35685046544599 0.501 0.353 7.26155687097897e-38
SMED30014511 6.11562706772032e-42 0.225802943903414 0.242 0.106 1.34042314070294e-37
SMED30031065 8.81055284013773e-42 -0.293723833985754 0.466 0.618 1.93109697150139e-37
SMED30000129 3.49787674074941e-41 0.156084118648075 0.085 0.008 7.66664624037455e-37
SMED30012836 2.786492014978e-39 0.341076702711791 0.443 0.299 6.10743319842878e-35
SMED30002257 6.00216749081607e-39 0.277943386091067 0.439 0.282 1.31555507063707e-34
SMED30007869 9.57964531138548e-39 0.22680597345262 0.191 0.073 2.09966665934947e-34
SMED30029256 3.83974937872896e-38 0.208132651282889 0.16 0.053 8.41596268829813e-34
SMED30023331 1.24035479659638e-37 0.314045646254113 0.84 0.771 2.71860964317995e-33
SMED30017717 2.03129669553256e-37 -0.272318608474421 0.508 0.646 4.45219609726825e-33
SMED30002377 2.71949980230631e-37 0.119198530201755 0.071 0.004 5.96059966669497e-33
SMED30019910 3.43661158096127e-37 0.293501927141102 0.545 0.411 7.53236526315091e-33
SMED30022837 1.84975235004015e-36 0.109443787050659 0.07 0.004 4.05428720081801e-32
SMED30009873 2.88188401073674e-35 0.51163363353742 0.121 0.032 6.31651337473279e-31
