V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
1	SMED30000006	2762	3109	18.91724	16.70753	19.20761	18.2775	SMED30000006	2826	3103	21.69555	12.7858	12.9409	15.8074	-0.209468658948371	0.493487442159448
2	SMED30000009	1228	1889	41.26023	40.7423	37.47139	39.8246	SMED30000009	1361	1868	18.55455	21.61679	17.01384	19.0617	-1.06298308093	0.000353543383818652
3	SMED30000013	1849	2113	4.44521	4.24328	4.51799	4.40216	SMED30000013	1866	2114	5.74404	3.97196	5.24131	4.98577	0.179604748902657	0.383722479058707
4	SMED30000013	2347	2509	3.97485	3.92181	3.6935	3.86339	SMED30000013	2372	2509	5.39717	3.85536	4.044	4.43218	0.198149151865068	0.361919470937037
5	SMED30000014	1309	1467	2.55424	2.29061	2.33225	2.39237	SMED30000014	1289	1468	2.84834	2.58686	2.61915	2.68478	0.166363342089667	0.0653909509478286
6	SMED30000019	848	1031	7.4962	5.57626	11.13017	8.06754	SMED30000019	859	1031	4.89206	3.5339	2.68632	3.70409	-1.12300967295784	0.101000008749874
7	SMED30000022	56	222	4.05084	3.42494	2.80155	3.42578	SMED30000022	34	269	6.72103	6.1212	7.9939	6.94538	1.0196211239711	0.00896335364781816
8	SMED30000023	1703	2040	6.24992	23.1496	9.88961	13.0964	SMED30000023	1631	2036	6.98284	16.20709	13.3427	12.1775	-0.1049523082854	0.884326790554798
9	SMED30000023	2239	2442	15.47359	15.51812	13.52943	14.8404	SMED30000023	2236	2439	10.65746	16.20709	13.70104	13.5219	-0.134232095113318	0.50877367669994
10	SMED30000025	29	498	12.98897	14.97011	14.76281	14.2406	SMED30000025	86	404	16.80517	12.33761	11.39689	13.5132	-0.0756405795035416	0.714965390829413
11	SMED30000038	619	810	2.06549	2.09066	1.82687	1.99434	SMED30000038	560	1094	3.91126	3.44018	3.84359	3.73168	0.903913892219749	0.00152693876408011
12	SMED30000038	1721	1861	2.75529	2.35436	2.9383	2.68265	SMED30000038	1716	1862	4.08717	2.90046	3.63151	3.53971	0.39997232725631	0.115058248777162
13	SMED30000039	191	443	5.7433	3.5218	5.078	4.78103	SMED30000039	208	368	2.84685	2.68428	4.04457	3.1919	-0.582906004695519	0.1245586379836
14	SMED30000039	598	830	10.16387	8.69283	15.33085	11.3959	SMED30000039	609	809	6.83138	6.00061	7.31854	6.71684	-0.762660298665752	0.141212522964196
15	SMED30000040	158	580	7.52922	7.601	8.64739	7.92587	SMED30000040	198	579	5.65962	4.67044	4.42394	4.918	-0.688497569503695	0.00454702466884986
16	SMED30000041	5584	6004	11.50203	12.03156	9.44197	10.9919	SMED30000041	5692	5911	5.83922	7.93481	4.96508	6.24637	-0.815350850071887	0.016369871540437
17	SMED30000046	514	651	2.01761	2.4966	1.9703	2.1615	SMED30000046	500	647	2.17464	1.83453	2.15975	2.05631	-0.0719750611235321	0.6330760954916
18	SMED30000046	994	1456	9.78978	7.2276	8.65127	8.55622	SMED30000046	975	1454	6.11788	4.1653	5.23002	5.17107	-0.72651074347131	0.0248303105516304
19	SMED30000049	352	710	7.06975	5.84939	7.77647	6.89854	SMED30000049	383	691	4.4355	5.58761	3.30666	4.44326	-0.634672499706974	0.0484628155491645
20	SMED30000054	1810	2715	26.09267	19.28576	27.17751	24.1853	SMED30000054	1833	2705	25.54844	16.52371	18.92233	20.3315	-0.250413776385722	0.351994077159972
21	SMED30000064	182	462	7.41597	6.33209	7.60714	7.1184	SMED30000064	210	461	4.51754	3.65293	4.10788	4.09278	-0.798471884228502	0.00526245444968983
22	SMED30000065	837	1404	6.54793	6.48055	6.8527	6.62706	SMED30000065	812	1399	7.62997	6.52297	6.43211	6.86168	0.050192864884235	0.610374276866635
23	SMED30000095	156	481	12.36258	14.61653	20.40997	15.7964	SMED30000095	207	400	7.92618	14.41326	16.12243	12.8206	-0.301132024416936	0.438431371175644
24	SMED30000095	792	1002	4.41855	6.01857	4.49303	4.97672	SMED30000095	762	1003	3.67352	9.21645	5.70216	6.19738	0.316463211194084	0.536193270898436
25	SMED30000096	3829	4177	9.96138	7.75197	6.43875	8.0507	SMED30000096	3852	4176	6.11827	4.1788	4.49604	4.93104	-0.707222273661678	0.0733061735603363
26	SMED30000107	1447	1866	19.45641	20.65078	26.74317	22.2835	SMED30000107	1460	1828	16.97043	15.13374	14.93544	15.6799	-0.507059491533392	0.0898330465330701
27	SMED30000109	129	998	12.30492	11.3805	12.79436	12.1599	SMED30000109	235	999	12.33499	8.67589	8.97002	9.99363	-0.283050654030154	0.19855343545007
28	SMED30000112	2328	2647	14.99554	12.78493	13.2216	13.6674	SMED30000112	2347	2647	14.56703	12.86151	11.66963	13.0327	-0.0686028201148711	0.589331890590216
29	SMED30000114	1168	1558	30.09254	25.36823	31.357	28.9393	SMED30000114	1182	1523	23.20757	20.59972	19.44666	21.0846	-0.456840373344155	0.0294746802384698
30	SMED30000118	877	1452	9.31778	9.90636	13.68645	10.9702	SMED30000118	867	1353	11.98586	11.4922	16.04892	13.1757	0.264289783500699	0.329921682460405
31	SMED30000119	584	775	3.06901	3.08509	3.1357	3.0966	SMED30000119	608	776	4.03956	3.53027	3.2323	3.60071	0.217596373566865	0.16493513455798
32	SMED30000126	427	662	4.89679	3.83195	4.37575	4.36816	SMED30000126	421	997	5.47923	6.0312	5.08847	5.53297	0.341028400185616	0.048041987034889
33	SMED30000129	5721	5947	9.81408	9.03351	12.58514	10.4776	SMED30000129	5738	5915	3.54883	3.42433	2.77768	3.25028	-1.68867237923513	0.0176907287932385
34	SMED30000130	1869	2292	6.40718	6.12421	6.33189	6.28776	SMED30000130	1911	2291	3.87261	3.44811	3.91454	3.74509	-0.747545762673136	0.000491396379937267
35	SMED30000131	2786	3286	13.20863	11.1066	14.53413	12.9498	SMED30000131	3017	3285	8.98712	6.92163	6.04843	7.31906	-0.82319953912699	0.0136682482130875
36	SMED30000132	2121	2570	69.85628	58.1686	66.58641	64.8704	SMED30000132	2130	2570	55.3648	43.23384	41.61118	46.7366	-0.473007550124453	0.033248229848533
37	SMED30000137	3450	3726	3.50708	3.64119	3.7261	3.62479	SMED30000137	3453	3726	5.08982	4.04793	2.69505	3.94427	0.121860897064812	0.690688583859987
38	SMED30000153	1494	1945	20.22754	15.89114	21.00395	19.0409	SMED30000153	1561	1945	25.91671	17.55652	17.5873	20.3535	0.09617523087158	0.708099268686815
39	SMED30000156	322	518	4.08745	3.88147	4.22618	4.06503	SMED30000156	316	503	3.39261	3.20705	4.26615	3.62194	-0.166503352235464	0.306261363632835
