V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
1	SMED30000006	2789	3095	13.09517	22.86288	40.69534	25.5511	SMED30000006	2758	3109	12.52139	10.92109	8.98851	10.8103	-1.24097884163392	0.208096418501965
2	SMED30000009	1264	1888	31.45036	38.19976	42.56369	37.4046	SMED30000009	1361	1869	24.40421	14.1291	19.38853	19.3073	-0.954069276076005	0.0147763401324449
3	SMED30000013	1808	2114	3.98193	4.33097	3.93446	4.08245	SMED30000013	1845	2114	5.06538	6.36001	8.07604	6.50048	0.671111035268302	0.106297310891007
4	SMED30000013	2305	2508	3.15901	3.20023	3.94369	3.43431	SMED30000013	2356	2509	4.0937	4.9365	4.19074	4.40698	0.359770078382722	0.0577765608214922
5	SMED30000019	831	1031	5.04248	5.81263	12.47451	7.77654	SMED30000019	821	1031	5.25309	5.02918	6.10377	5.46201	-0.509696447188881	0.430451176628142
6	SMED30000022	71	224	2.98909	3.759	4.07977	3.60929	SMED30000022	14	279	8.83681	8.35719	13.57073	10.2549	1.50652645256545	0.0526362935267062
7	SMED30000039	544	831	6.30614	9.25091	14.66986	10.0756	SMED30000039	580	831	10.10039	5.28692	4.77365	6.72032	-0.584263917272678	0.330250211717513
8	SMED30000040	158	655	5.51802	7.69408	8.68958	7.30056	SMED30000040	156	581	5.87312	3.92867	5.86649	5.22276	-0.483194722764379	0.150880546697276
9	SMED30000049	340	736	5.31105	6.5062	8.45772	6.75832	SMED30000049	385	690	2.94177	2.42252	2.98827	2.78419	-1.279406994734	0.0447257783560591
10	SMED30000054	1538	2715	20.8658	20.66431	23.773	21.7677	SMED30000054	1941	2716	17.5235	17.31903	14.94049	16.5943	-0.391501205510938	0.0176771306300534
11	SMED30000062	152	303	12.87174	12.26105	22.56084	15.8979	SMED30000062	134	303	8.92805	14.0534	9.47575	10.8191	-0.555255716483897	0.267534819667213
12	SMED30000064	177	462	6.14918	6.79285	7.84416	6.92873	SMED30000064	264	460	3.57812	4.41881	4.30528	4.10074	-0.756706663036958	0.0143558076860967
13	SMED30000065	797	1360	5.05675	5.49898	6.55507	5.7036	SMED30000065	837	1406	6.45766	6.61315	7.16898	6.7466	0.242287820774101	0.128582048868182
14	SMED30000095	144	481	16.31614	21.82327	21.33824	19.8259	SMED30000095	182	595	21.24261	13.56131	13.46554	16.0898	-0.301239965661108	0.305313887215599
15	SMED30000096	3825	4176	5.77357	5.59674	9.44764	6.93932	SMED30000096	3882	4176	3.778	5.50841	3.42058	4.23566	-0.71220750907901	0.15164266711744
16	SMED30000107	1419	1836	14.72087	19.75571	26.42193	20.2995	SMED30000107	1465	1870	16.39615	14.87582	13.3475	14.8732	-0.448729112978638	0.246760219774404
17	SMED30000109	233	998	9.3576	10.97086	11.67448	10.6676	SMED30000109	226	999	10.13941	8.98738	12.41406	10.5136	-0.0209788823356415	0.906250241504026
18	SMED30000118	871	1439	10.43444	9.99068	10.85477	10.4266	SMED30000118	863	1431	16.05482	13.66485	13.78549	14.5017	0.475953246380416	0.0255850771493921
19	SMED30000119	572	775	3.98017	3.65747	3.33153	3.65639	SMED30000119	592	776	3.9733	3.48678	2.57642	3.3455	-0.128198115948096	0.542656483488029
20	SMED30000126	1573	2032	6.60181	4.70398	6.45659	5.92079	SMED30000126	1395	2032	8.6633	12.02498	13.35102	11.3464	0.938373040101066	0.0436682978181101
21	SMED30000129	5716	5947	7.23116	11.52415	13.03594	10.5971	SMED30000129	5746	5915	2.88048	3.03166	2.65018	2.85411	-1.89255666742078	0.0463837443834292
22	SMED30000130	1806	2292	4.65947	8.31794	10.28606	7.75449	SMED30000130	1864	2291	5.38769	3.73179	2.87544	3.99831	-0.95564156816741	0.136539034655245
23	SMED30000131	2714	3286	8.14633	12.37956	14.8135	11.7798	SMED30000131	2977	3287	10.17788	7.64951	6.86668	8.23136	-0.517112324882451	0.203959681962764
24	SMED30000132	2065	2570	46.75276	46.33233	62.54599	51.877	SMED30000132	2148	2569	44.97609	48.99715	53.33602	49.1031	-0.0792809439352804	0.670370316681324
25	SMED30000137	3425	3726	3.85833	2.96858	3.35514	3.39402	SMED30000137	3435	3726	4.70165	3.92227	4.37398	4.33263	0.352247971612571	0.0529030438268258
26	SMED30000153	1409	1945	17.29984	20.67556	25.1641	21.0465	SMED30000153	1498	1945	29.87844	20.02409	23.06167	24.3214	0.208645940958369	0.428610982618583
27	SMED30000156	272	518	4.99662	3.99004	4.32157	4.43608	SMED30000156	312	518	4.0658	3.32569	3.74264	3.71138	-0.257329660253405	0.125339067273285
28	SMED30000160	3088	3431	14.69896	14.72483	17.28543	15.5697	SMED30000160	3098	3431	12.06276	13.5242	6.58905	10.7253	-0.537723144290373	0.135571328906354
29	SMED30000188	4381	4720	6.76666	6.7736	9.26655	7.60227	SMED30000188	4448	4720	8.90693	5.20151	5.47071	6.52638	-0.220147273314188	0.505074882068797
30	SMED30000194	2395	2775	4.94581	5.4122	6.66365	5.67389	SMED30000194	2404	2779	8.90342	7.43157	7.9281	8.0877	0.511391302541395	0.0239026223302479
31	SMED30000196	332	1349	7.6581	10.95244	17.57398	12.0615	SMED30000196	351	1337	6.59376	6.56796	7.67481	6.94551	-0.796256797283504	0.219984111561025
32	SMED30000196	1598	1925	33.82364	58.78685	65.33786	52.6495	SMED30000196	1667	1925	23.34015	32.38432	30.82811	28.8509	-0.867803506125095	0.122079399019494
33	SMED30000200	741	1046	4.56578	3.52773	4.21266	4.10206	SMED30000200	798	1046	3.83928	4.90881	6.53943	5.09584	0.312971386355536	0.334957060200238
34	SMED30000203	217	686	8.40309	13.41221	13.0014	11.6056	SMED30000203	190	685	12.00933	8.82804	6.8735	9.23696	-0.329331085019141	0.341543441120895
35	SMED30000203	2840	3349	18.23914	22.28448	22.65099	21.0582	SMED30000203	2888	3349	27.58107	18.58739	15.61421	20.5942	-0.0321440393015906	0.913098060477062
36	SMED30000223	3768	4794	7.80734	8.39247	11.97482	9.39154	SMED30000223	3746	4801	26.63577	24.69579	45.25354	32.195	1.77740299825227	0.0684230466008043
37	SMED30000223	5475	6288	8.85106	11.77847	12.55548	11.0617	SMED30000223	5778	6288	10.90108	9.19248	10.05453	10.0494	-0.13846375314841	0.476352061423365
38	SMED30000242	205	712	5.43989	5.11825	6.15564	5.57126	SMED30000242	172	713	10.48379	10.39274	12.79543	11.224	1.01051136358657	0.0105479379666268
