V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
1	SMED30000009	1313	1861	33.26786	21.2312	33.82294	29.4407	SMED30000009	1358	1868	20.50559	17.97301	15.33526	17.938	-0.714792928474238	0.0938409791670488
2	SMED30000013	1880	2114	3.50429	2.51455	3.55216	3.19033	SMED30000013	1830	2139	3.35787	3.45969	3.18389	3.33382	0.0634705516817103	0.716192556737558
3	SMED30000013	2351	2508	3.79622	3.00553	3.20508	3.33561	SMED30000013	2334	2508	2.85755	2.24088	2.41992	2.50612	-0.412495121964386	0.0541599766317628
4	SMED30000025	107	404	5.14614	9.66761	15.47298	10.0956	SMED30000025	37	456	18.03196	11.10552	14.03431	14.3906	0.511400089664955	0.307451547352873
5	SMED30000032	105	247	6.80904	4.52366	4.56094	5.29788	SMED30000032	105	266	4.15735	3.98694	3.05355	3.73261	-0.505230389010386	0.162604281324993
6	SMED30000039	212	368	3.62846	3.78669	9.7829	5.73268	SMED30000039	202	382	3.70875	4.65786	5.35536	4.57399	-0.325756537968388	0.628703585004989
7	SMED30000040	180	654	6.6017	7.50472	7.86417	7.32353	SMED30000040	176	654	8.023	6.41211	4.93249	6.45587	-0.181927678924352	0.443125068988544
8	SMED30000041	5590	5941	12.18713	13.53969	14.77768	13.5015	SMED30000041	5609	5957	6.20072	8.87818	5.28436	6.78775	-0.992114362830276	0.00936894963524044
9	SMED30000043	179	1148	10.81779	11.80286	16.06988	12.8968	SMED30000043	559	1123	14.23954	11.16652	10.87881	12.095	-0.0926023740958	0.703160757596154
10	SMED30000044	154	419	4.3194	4.41875	6.42872	5.05562	SMED30000044	229	416	6.65795	5.197	3.79408	5.21634	0.0451498781710043	0.888624389557593
11	SMED30000044	1270	1474	8.3419	8.91925	7.32151	8.19422	SMED30000044	1281	1475	5.51005	7.15727	6.32401	6.33044	-0.372300848804873	0.049023587093159
12	SMED30000046	1014	1472	7.88592	8.50053	8.64183	8.34276	SMED30000046	956	1456	8.57997	7.19091	6.13625	7.30238	-0.192157997889627	0.276512243999742
13	SMED30000049	366	689	2.77962	10.00095	5.53047	6.10368	SMED30000049	365	699	5.29859	6.95681	3.5476	5.26767	-0.212514358493762	0.744062213235727
14	SMED30000054	1940	2667	14.14634	16.97062	25.66616	18.9277	SMED30000054	1824	2707	22.37672	20.78919	19.16862	20.7782	0.134571567494249	0.651680805345342
