SMED30000044 ASI4B
SMED30000046 ODO2
SMED30000060 YMD3
SMED30000070 SETMR
SMED30000039 UXS1
SMED30000049 K2013
SMED30000072 CAF1
SMED30000045 ZBED5
SMED30000043 FITM
SMED30000050 RPP25
SMED30000054 EVI5
SMED30000048 TEX43
SMED30000055 UBQL4
SMED30000052 GT2D2
SMED30000041 SFC6
SMED30000056 POL3
SMED30000388 T170A
SMED30000372 DMTA2
SMED30000376 DNHD1
SMED30000400 TBA
SMED30000383 M3K13
SMED30000373 RDH13
SMED30000401 MOS1T
SMED30000396 FEN1
SMED30000377 MAGI2
SMED30000403 SCAI
SMED30000393 EPN2
SMED30000392 SETMR
SMED30003659 GRIA4
SMED30003645 S35A2
SMED30003662 2ABA
SMED30003656 ZBT22
SMED30003644 TCPT
SMED30003654 TIGD1
SMED30003660 DYHC
SMED30003669 WIF1
SMED30003657 GRIK2
SMED30003641 S26A2
SMED30000006 KCNH8
SMED30000030 MOS1T
SMED30000020 TRX
SMED30000004 THIO
SMED30000009 CECR5
SMED30000031 B3GA3
SMED30000014 S20A1
SMED30000019 CCNT2
SMED30000035 ACT6
SMED30000033 GRM1B
SMED30000013 BGH3
SMED30000023 ACM3
SMED30000001 TIGD1
SMED30003673 SETMR
SMED30003692 GTD2A
SMED30003699 EXOC5
SMED30003674 YFE9
SMED30003681 ET96B
SMED30003676 CL43
SMED30003680 HOIL1
SMED30003677 YFI3
SMED30003704 Y3977
SMED30003672 TI17A
SMED30003700 UCK2
SMED30003697 TESB
SMED30003689 POLR
SMED30003675 KAD7
SMED30003724 SM16
SMED30003737 FUCL7
SMED30003727 ZBED8
SMED30003716 G6PI
SMED30003733 SKI
SMED30003736 SSBP3
SMED30003721 DUS14
SMED30003714 RHG20
SMED30003720 ZNT3
SMED30003731 N2F1A
SMED30003728 S43A3
SMED30003730 NCOA5
SMED30003729 DYL1
SMED30003742 FER3L
SMED30003741 GRP33
SMED30003769 SORCN
SMED30003746 POLR
SMED30003760 HSRA
SMED30003762 BTKL
SMED30003774 PIM3
SMED30003771 PIGG
SMED30003779 MT12B
SMED30003768 POU1
SMED30003748 TM136
SMED30003750 VNG2B
SMED30003775 ICCR
SMED30003745 GRIA1
SMED30003761 ZBED5
SMED30003765 ODR4
SMED30003783 TCF7
SMED30003809 VIT
SMED30003812 PPGB
SMED30003788 TOM70
SMED30003808 PTN23
SMED30003795 LMX1A
SMED30003805 YFBK
SMED30003793 GLCTK
SMED30003796 SNX13
SMED30003798 COX15
SMED30003803 ZBED5
SMED30003780 STK36
SMED30003811 DDX18
SMED30003791 LRC69
SMED30003840 TMLH
SMED30003838 PDE11
SMED30003820 REM1
SMED30003847 TRAF3
SMED30003835 GPR9
SMED30003829 ANK1
SMED30003848 CDK1
SMED30003844 OXLD1
SMED30003824 GGT1
SMED30003841 ZMYM1
SMED30003822 PTPRJ
SMED30003832 CDK9
SMED30003816 NIF3L
SMED30003834 AIFM1
SMED30003827 FLD
SMED30003818 IRF4
SMED30003826 TTC14
SMED30003845 RAF1
SMED30003885 DBNL
SMED30003871 FKBP2
SMED30003887 MYCBP
SMED30003867 5HTR
SMED30003886 SUR1
SMED30003884 SETMR
SMED30003857 CE162
SMED30003880 EAA3
SMED30003873 NFYB
SMED30003866 PO21
SMED30003863 CECR5
SMED30003855 YMD3
SMED30003876 STIL
SMED30003852 TAAR2
SMED30003877 GT2D2
SMED30003881 MTP5
SMED30003868 UBAC2
SMED30003922 CGBP1
SMED30003899 TEX2
SMED30003902 TT21B
SMED30003920 NBP1B
SMED30003916 CTR1
SMED30003892 FMA
SMED30003906 GP183
SMED30003905 FUBP2
SMED30003893 KCNQ1
SMED30003907 LHFP
SMED30003890 HMGX4
SMED30003919 TRAF3
SMED30003921 K1586
SMED30003914 YI31B
SMED30003908 CNIH1
SMED30003949 IDE
SMED30003935 NWD2
SMED30003948 PGBD4
SMED30003931 TIGD1
SMED30003947 TRPM2
SMED30003943 CBPC5
SMED30003927 PISD
SMED30003946 TM2D3
SMED30003940 KDEL1
SMED30003937 CP2R1
SMED30003926 TBA4
SMED30003929 PDX1
SMED30003950 JOS2
SMED30003951 TEKT4
SMED30003957 NMDE1
SMED30003944 EFHD1
SMED30003928 CYSK
SMED30003959 FTSZ
SMED30003982 TRA1
SMED30003963 DEN1C
SMED30003992 ATHL1
SMED30003962 GRN
SMED30003965 ZFP26
SMED30003960 ERLN2
SMED30003994 RT26
SMED30003995 EAT5
SMED30003985 CB5D1
SMED30003987 RL29
SMED30003975 CERS2
SMED30003967 NINL
SMED30003981 TC1D1
SMED30003964 VIP1
SMED30003966 MET16
SMED30003977 MOT12
SMED30003989 TRA2B
SMED30003973 PRS6A
SMED30000421 TTC6
SMED30000416 ISWI
SMED30000440 CACB2
SMED30000431 ANK1
SMED30000430 RAC1
SMED30000410 RHA1A
SMED30000439 POL2
SMED30000428 GST
SMED30000409 USF1
SMED30000418 UBR3
SMED30000419 BOK
SMED30000411 DYN1
SMED30000412 SYT2
SMED30004027 PTPRJ
SMED30004031 CDK17
SMED30004020 IF5A
SMED30004016 PPIL4
SMED30004017 RGPA1
SMED30004012 DJB12
SMED30003997 HEXP
SMED30004018 DOPR1
SMED30003996 TBA2
SMED30004015 PHBB
SMED30004000 ZG46
SMED30004009 RBBP6
SMED30004063 RAB1A
SMED30004035 RNF37
SMED30004067 REXO4
SMED30004042 DYH3
SMED30004064 RPB2
SMED30004043 CKAP5
SMED30004041 SH3G3
SMED30004045 CBP
