V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
1	SMED30000006	2815	3103	15.59385	11.90269	13.21152	13.5694	SMED30000006	2796	3109	14.54391	19.14474	10.89926	14.8626	0.131329586560766	0.657694117372989
2	SMED30000009	1304	1888	29.00925	22.08513	23.63776	24.9107	SMED30000009	1343	1863	20.84851	22.08355	19.09244	20.6748	-0.268892189027821	0.170342598221926
3	SMED30000013	1845	2141	3.38	2.74556	2.11134	2.74563	SMED30000013	1870	2113	2.92887	2.67585	2.54376	2.71616	-0.0155687550993185	0.944697989533615
4	SMED30000013	2319	2508	2.91334	2.42609	2.62464	2.65469	SMED30000013	2333	2507	2.77876	2.69022	2.70794	2.72564	0.0380516239785734	0.668089744890028
5	SMED30000019	856	1031	4.10098	3.51845	5.16381	4.26108	SMED30000019	843	1031	6.95387	4.17775	4.18194	5.10452	0.260556166884847	0.477540812921059
6	SMED30000023	899	1527	15.1636	10.02162	17.13116	14.1055	SMED30000023	884	1528	16.86889	16.4808	19.38977	17.5798	0.317660851194609	0.238318188343302
7	SMED30000023	1652	2076	8.57662	10.02162	17.13116	11.9098	SMED30000023	1690	1969	5.30519	6.63684	19.38977	10.4439	-0.189488637309814	0.795470643154774
8	SMED30000023	2234	2383	11.17559	8.60859	17.13116	12.3051	SMED30000023	2176	2442	12.06835	13.27369	19.38977	14.9106	0.277081930381356	0.48576214940685
9	SMED30000025	64	420	11.46202	11.57622	11.52647	11.5216	SMED30000025	17	391	17.32891	13.16304	16.61843	15.7035	0.446745066008584	0.082945571186086
10	SMED30000032	105	262	5.62026	4.29653	4.99447	4.97042	SMED30000032	106	258	3.85152	8.30648	5.08784	5.74861	0.209845393524413	0.6228428445037
11	SMED30000040	153	768	9.37212	7.20464	8.42327	8.33334	SMED30000040	157	664	8.21654	10.00893	6.62474	8.2834	-0.0086717860744036	0.968101602512876
12	SMED30000041	5558	6005	12.17899	11.44667	13.6145	12.4134	SMED30000041	5626	5954	7.08353	8.24578	6.54011	7.28981	-0.76794520217889	0.00382861367849585
13	SMED30000043	154	1149	15.55466	12.3351	11.78909	13.2263	SMED30000043	544	1145	13.65527	12.67546	12.752	13.0276	-0.0218382014282467	0.883546342289184
14	SMED30000044	225	442	3.78456	5.12173	6.08478	4.99702	SMED30000044	162	428	4.67262	8.8998	4.07151	5.88131	0.235069543708231	0.634171855101753
15	SMED30000046	956	1455	9.17882	7.87644	6.54515	7.8668	SMED30000046	977	1455	7.69375	6.98624	6.72421	7.13473	-0.140918071262234	0.444487885040412
16	SMED30000049	326	736	11.46708	9.00914	8.62727	9.70116	SMED30000049	348	727	7.92058	9.23538	8.90332	8.68643	-0.159393893892961	0.379850441495856
17	SMED30000054	1807	2706	21.59971	22.07322	16.00137	19.8914	SMED30000054	1825	2716	25.63934	18.86761	21.46212	21.9897	0.144683102237765	0.491458025948351
18	SMED30000059	183	649	2.53159	3.58153	5.51364	3.87559	SMED30000059	156	650	4.35091	3.23067	2.42802	3.33653	-0.216067479895888	0.634909551364476
19	SMED30000064	175	462	8.23727	8.12795	6.48684	7.61735	SMED30000064	182	462	7.46962	5.54551	5.09344	6.03619	-0.33565096778726	0.166071328188302
20	SMED30000065	795	1348	3.34082	3.69967	4.41813	3.81954	SMED30000065	811	1397	6.28415	2.85888	3.65308	4.26537	0.159271993590208	0.714747773469849
21	SMED30000082	1727	1925	3.71786	3.77589	4.43091	3.97489	SMED30000082	1730	1910	4.31036	2.91067	3.25595	3.49233	-0.186725046522296	0.386132229231308
22	SMED30000088	381	652	3.21749	2.69138	2.79504	2.9013	SMED30000088	342	651	2.8266	4.06835	2.11921	3.00472	0.0505310764909085	0.875413917055702
23	SMED30000093	709	971	5.35523	5.11355	5.21535	5.22804	SMED30000093	793	970	4.29348	3.70936	3.20643	3.73642	-0.484613546032995	0.0362335032172687
24	SMED30000095	199	400	11.43549	8.1555	10.2287	9.9399	SMED30000095	140	582	20.11391	13.01842	12.65472	15.2623	0.618669147201516	0.14775717912924
25	SMED30000095	740	1002	5.48137	3.85121	5.36042	4.89767	SMED30000095	738	1193	6.80779	13.01842	12.65472	10.827	1.14446607409736	0.0900858218842686
26	SMED30000107	118	338	6.57842	4.53432	6.63954	5.91743	SMED30000107	114	338	7.33038	8.1953	9.20299	8.24289	0.478179507708597	0.0605445635270467
27	SMED30000107	1441	1866	19.06544	24.25396	17.40198	20.2405	SMED30000107	1453	1873	25.56748	27.71274	29.24364	27.508	0.442606321414025	0.0521769156826743
28	SMED30000109	233	998	13.58821	13.38053	12.29028	13.0863	SMED30000109	235	997	14.15457	10.16107	15.55214	13.2893	0.022207864563189	0.913021797600484
29	SMED30000112	2093	2647	12.00368	8.54992	9.10969	9.88776	SMED30000112	2305	2636	11.89697	12.27741	12.51523	12.2299	0.3066969763953	0.156741590725602
30	SMED30000114	38	659	9.84581	9.48639	30.83903	16.7237	SMED30000114	122	629	9.19374	8.09056	8.39887	8.56106	-0.966032726609946	0.366942919403427
31	SMED30000114	788	1547	29.39594	33.26271	30.83903	31.1659	SMED30000114	1113	1511	28.63693	27.88893	23.29349	26.6064	-0.228195056516283	0.0958206064194407
32	SMED30000117	1934	2155	3.82374	2.77379	3.01301	3.20351	SMED30000117	1921	2153	3.87453	3.69986	4.27454	3.94964	0.302067667175847	0.128419820798873
33	SMED30000118	863	1452	13.21529	12.04726	13.86794	13.0435	SMED30000118	864	1353	20.0243	15.47446	11.98732	15.8287	0.279211728770058	0.35376599048093
